time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/loss,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/approx_kl
17,62,69632,1113,967.7246376811594,0.9293138384819031,-31.93552101449275,0.0003,2.976837861537933,0.2,0.0122314453125,160,-0.0010051440331153572,0.9416167512536049,-1.3584963172674178,0.0014601469
18,62,73728,1183,969.0694444444445,13.422740936279297,-31.893777180555553,0.0003,17.37050840854645,0.2,0.0082275390625,170,-0.002404166175983846,0.5889523327350616,-1.3527170777320863,0.0034271104
19,62,77824,1252,971.077922077922,0.8788267970085144,-31.00394688311688,0.0003,2.1929185658693315,0.2,0.0189453125,180,-0.003467159660067409,0.9694477822631598,-1.2659244894981385,0.005699725
20,62,81920,1320,969.7375,0.5378155708312988,-32.035311525,0.0003,1.730083890259266,0.2,0.0017822265625,190,-0.0007623815676197409,0.9590566717088223,-1.2834519118070602,0.00084470736
21,62,86016,1387,963.2558139534884,7.685262203216553,-31.715822023255807,0.0003,17.267899417877196,0.2,0.015869140625,200,-0.00537320600124076,0.791929304599762,-1.24885194003582,0.0016740634
22,61,90112,1459,956.5777777777778,24.298017501831055,-32.77889504444444,0.0003,31.42559609413147,0.2,0.006689453125,210,-0.0033511601912323387,0.7283417284488678,-1.281289067864418,0.0017981152
23,61,94208,1531,952.9473684210526,9.22899341583252,-33.028291063157894,0.0003,31.121353220939636,0.2,0.039013671875,220,-0.0031719143211375923,0.7782402634620667,-1.2371407121419906,0.0044234945
24,61,98304,1601,944.04,14.366100311279297,-33.13963891,0.0003,31.593082189559937,0.2,0.015185546875,230,-0.0020751710515469314,0.770008847117424,-1.2458951264619826,0.0018932044
25,61,102400,1671,944.04,12.046314239501953,-33.03518361000001,0.0003,44.89576373100281,0.2,0.025341796875,240,-0.0038684785831719637,0.7068034410476685,-1.2173897296190261,0.0031333487
26,61,106496,1736,942.66,0.6214307546615601,-33.02920065000001,0.0003,1.666372925043106,0.2,0.00947265625,250,-0.0016482113453093917,0.9840881638228893,-1.2450364977121353,0.0034584652
27,61,110592,1804,942.66,12.71060848236084,-32.899861740000006,0.0003,29.819875144958495,0.2,0.014208984375,260,-0.001653893681941554,0.8256277590990067,-1.2634087920188903,0.0027685433
28,61,114688,1873,942.66,0.3040394186973572,-32.29655507,0.0003,0.926309184730053,0.2,0.00693359375,270,-0.002521011867793277,0.9869680404663086,-1.2686051607131958,0.0030556386
29,61,118784,1938,942.66,0.6036666035652161,-32.230585319999996,0.0003,1.6366643011569977,0.2,0.0424072265625,280,-0.00518453341210261,0.9859751844778657,-1.2991601467132567,0.009680139
30,61,122880,2005,942.66,0.5058401823043823,-31.44995287,0.0003,1.1174938648939132,0.2,0.0009521484375,290,-0.0009215355792548507,0.9872582145035267,-1.2300644725561143,0.0022146464
