rollout/ep_rew_mean,train/learning_rate,train/n_updates,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,train/loss,rollout/exploration_rate
-294.30681675000005,0.0001,52,312,490,4,78.0,0,3.1307859420776367,0.9940720000000004
-208.98845637500003,0.0001,134,639,570,8,79.875,1,2.355393886566162,0.987859
-190.21671758333335,0.0001,232,1032,607,12,86.0,1,1.9467825889587402,0.9803920000000004
-188.5284885,0.0001,338,1453,627,16,90.8125,2,2.068084716796875,0.9723930000000004
-201.60689255000003,0.0001,439,1860,639,20,93.0,2,1.2642624378204346,0.9646600000000005
-216.95918879166666,0.0001,532,2229,644,24,92.875,3,2.10012149810791,0.9576490000000004
-220.81208557142855,0.0001,624,2598,650,28,92.78571428571429,3,4.844163417816162,0.9506380000000002
-213.37823824999998,0.0001,750,3104,652,32,97.0,4,5.046448707580566,0.9410240000000001
-212.3198691111111,0.0001,842,3470,656,36,96.38888888888889,5,1.283964991569519,0.9340700000000005
-213.626623375,0.0001,946,3885,656,40,97.125,5,0.6646609306335449,0.9261849999999995
-218.1741273863636,0.0001,1036,4246,656,44,96.5,6,0.6634172201156616,0.9193260000000005
-218.86402672916665,0.0001,1134,4637,657,48,96.60416666666667,7,0.8524433970451355,0.911897
-216.38400373076922,0.0001,1229,5018,657,52,96.5,7,0.9515156149864197,0.9046579999999995
-209.6372633392857,0.0001,1343,5476,658,56,97.78571428571429,8,7.164605140686035,0.8959560000000004
-203.56932903333333,0.0001,1442,5871,658,60,97.85,8,3.695979595184326,0.8884509999999998
-197.21107028125,0.0001,1534,6240,659,64,97.5,9,1.0454069375991821,0.8814399999999996
-203.05861726470587,0.0001,1653,6714,657,68,98.73529411764706,10,1.1246974468231201,0.872434
-207.4231697222222,0.0001,1753,7115,657,72,98.81944444444444,10,4.471523284912109,0.8648150000000003
-200.27528117105263,0.0001,1872,7589,658,76,99.85526315789474,11,0.9151675701141357,0.8558089999999998
-198.35969915,0.0001,1974,7997,659,80,99.9625,12,7.171518325805664,0.8480570000000005
-197.9954546785714,0.0001,2094,8480,659,84,100.95238095238095,12,3.7202868461608887,0.8388800000000003
-195.0232737840909,0.0001,2222,8989,657,88,102.14772727272727,13,0.39463239908218384,0.8292089999999995
-194.25707439130431,0.0001,2343,9474,655,92,102.97826086956522,14,1.065582275390625,0.8199940000000003
-190.6336482083333,0.0001,2435,9841,653,96,102.51041666666667,15,0.47057753801345825,0.8130210000000002
-194.55959682,0.0001,2545,10281,651,100,102.81,15,0.9206492900848389,0.8046610000000003
-187.71166305999998,0.0001,2640,10663,649,104,103.51,16,0.7296142578125,0.7974030000000004
-187.52770723,0.0001,2754,11120,647,108,104.81,17,2.944336175918579,0.7887199999999996
-187.66544975999997,0.0001,2854,11518,645,112,104.86,17,1.1977872848510742,0.7811579999999995
-187.60113561000003,0.0001,2964,11959,644,116,105.06,18,6.23085880279541,0.7727790000000001
-183.05491889,0.0001,3078,12413,642,120,105.53,19,0.5216266512870789,0.7641529999999999
-177.90328282000002,0.0001,3189,12859,641,124,106.3,20,1.682630181312561,0.7556789999999999
-174.76917504000008,0.0001,3306,13326,640,128,107.28,20,3.9212265014648438,0.746806
-174.37948980000002,0.0001,3431,13827,639,132,107.23,21,0.7548561096191406,0.7372870000000005
-174.54037719,0.0001,3572,14391,638,136,109.21,22,0.4228079319000244,0.7265710000000003
-172.46105583000005,0.0001,3672,14792,636,140,109.07,23,0.47799721360206604,0.7189519999999995
-167.86621163000004,0.0001,3810,15342,634,144,110.96,24,3.55833101272583,0.7085019999999995
-163.85670833,0.0001,3944,15879,630,148,112.42,25,1.5363595485687256,0.6982990000000004
-163.50922979999999,0.0001,4111,16548,626,152,115.3,26,0.5010323524475098,0.6855879999999999
