time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_range
35,71680,348,-53.2070608,205,436.1,0.009091577,6.125886917114258,0.07177734375,0.0003,-1.0069570552557707,0.8026868999004364,-0.0047102937067393215,22.016024819016458,340,0.2
36,73728,345,-49.21026970999999,213,451.03,0.006258422,19.036785125732422,0.078271484375,0.0003,-0.9446734825149179,0.6883871853351593,-0.006484977621585131,35.91215937435627,350,0.2
37,75776,343,-46.47281208,220,466.66,0.01079981,11.226999282836914,0.118701171875,0.0003,-0.9406260933727026,0.5000813901424408,-0.011737407560576684,31.559886965155602,360,0.2
38,77824,342,-43.754787449999995,227,475.48,0.005834142,4.924577713012695,0.075927734375,0.0003,-0.9158734930679202,0.8133975267410278,-0.0056561793520813804,9.556669832020997,370,0.2
39,79872,341,-41.032774659999994,234,491.37,0.005062827,9.729857444763184,0.050390625,0.0003,-0.9208629405125975,0.45030444860458374,-0.0061773874389473345,50.46621247828007,380,0.2
40,81920,341,-35.235104330000006,239,508.36,0.0051164534,3.3964850902557373,0.040869140625,0.0003,-0.8001336676999926,0.7493040263652802,-0.0031635223640478216,11.234811814129353,390,0.2
41,83968,339,-33.41528884,247,523.72,0.006602532,44.61545181274414,0.0248046875,0.0003,-0.8967300113290548,0.2727857828140259,-0.00458057772484608,101.81241886019707,400,0.2
42,86016,337,-30.59967611,254,537.11,0.007713886,3.5973570346832275,0.081494140625,0.0003,-0.8952333526685834,0.9117291122674942,-0.006475126650184393,11.120481885969639,410,0.2
43,88064,338,-23.559035559999998,260,541.2,0.006656426,10.888626098632812,0.040380859375,0.0003,-0.8507300311699509,0.44719547033309937,-0.004390459667774849,69.13185237944126,420,0.2
44,90112,337,-16.918503299999998,267,558.02,0.012105268,82.12364196777344,0.10380859375,0.0003,-0.8438603723421693,0.4404723644256592,-0.006150352832628414,103.5956661939621,430,0.2
45,92160,337,-9.474519200000001,273,568.36,0.010496056,6.601713180541992,0.082470703125,0.0003,-0.7512707658112049,0.15341711044311523,-0.004810602399811614,101.2682799309492,440,0.2
46,94208,336,-4.104296420000002,280,583.81,0.021299116,104.44609069824219,0.121923828125,0.0003,-0.7902730505913496,0.2779236435890198,-0.011589488778554369,143.61058524250984,450,0.2
47,96256,336,2.48813558,286,588.06,0.005095681,42.62931442260742,0.025,0.0003,-0.796304521895945,0.21913546323776245,-0.004157528041105252,92.5739849537611,460,0.2
48,98304,335,7.6188029,292,603.29,0.008522578,137.49813842773438,0.04658203125,0.0003,-0.8447259683161974,0.2218153476715088,-0.0041112192440778015,196.87472060322762,470,0.2
49,100352,335,7.869475890000001,298,619.07,0.0038156598,45.987545013427734,0.025244140625,0.0003,-0.6920630818232893,0.22645342350006104,-0.00397313246212434,98.4323714196682,480,0.2
