time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/loss,rollout/ep_rew_mean,train/explained_variance,train/approx_kl,train/policy_gradient_loss,rollout/ep_len_mean,train/clip_range,train/entropy_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/std
5632,11,43,128,0.6111597627401352,0.28375929594039917,-66.0683598,0.16487425565719604,0.0029149037,-0.001487772399559617,1000.0,0.2,-4.253599917888641,0.0001,0.0005859375,100,0.9999418258666992
6144,12,43,142,1.180484913289547,0.40369632840156555,-66.11196083333333,-5.364418029785156e-06,0.010735222,-0.013055697595700622,1000.0,0.2,-4.257474136352539,0.0001,0.1369140625,110,0.9997722506523132
6656,13,42,155,0.5774887502193451,0.24132108688354492,-66.11196083333333,0.13733357191085815,0.0018173748,-0.0006161554949358106,1000.0,0.2,-4.255159986019135,0.0001,0.0,120,0.9991334676742554
7168,14,42,168,0.15809232890605926,0.0322105810046196,-67.69578028571428,-0.13485419750213623,0.011357001,-0.003637078101746738,1000.0,0.2,-4.254579246044159,0.0001,0.03828125,130,0.9997478723526001
7680,15,42,181,1.151658760011196,0.5422425270080566,-67.69578028571428,0.08533531427383423,0.0104439175,-0.008715610951185226,1000.0,0.2,-4.256341397762299,0.0001,0.095703125,140,0.9997183680534363
8192,16,42,194,1.7430814892053603,0.6768510937690735,-63.42684575,0.12031853199005127,0.0050012358,-0.004090409586206078,1000.0,0.2,-4.255218732357025,0.0001,0.0078125,150,0.9992022514343262
8704,17,42,206,1.16043970733881,0.4539441764354706,-63.42684575,0.3656613230705261,0.0010407257,-0.00013224831782281398,1000.0,0.2,-4.2543964862823485,0.0001,0.0,160,0.9993755221366882
9216,18,42,216,1.0049789890646934,0.4206506013870239,-56.703043,0.42371565103530884,0.0064725624,-0.003946194762829691,1000.0,0.2,-4.254444146156311,0.0001,0.0158203125,170,0.9988985061645508
9728,19,42,226,4.476349902153015,1.287839651107788,-56.703043,0.3516165018081665,0.00052778353,-0.0009316491545177996,1000.0,0.2,-4.253070998191833,0.0001,0.0,180,0.9987977743148804
10240,20,43,237,1.249696333706379,0.3994442820549011,-54.804365,-0.052575111389160156,0.0016251307,-0.0009023798629641533,1000.0,0.2,-4.25266410112381,0.0001,0.0,190,0.9983943700790405
10752,21,43,249,2.065966656804085,0.9508921504020691,-54.804365,0.46978020668029785,0.000803601,-0.0007709590950980783,1000.0,0.2,-4.251657855510712,0.0001,0.0,200,0.9982461929321289
11264,22,43,261,1.2736302748322488,0.5000132918357849,-52.8311129090909,0.6315402388572693,0.007042717,-0.0031148789683356883,1000.0,0.2,-4.251218295097351,0.0001,0.0169921875,210,0.9980416297912598
11776,23,42,275,1.4498369172215462,0.6604533791542053,-52.8311129090909,0.6295676529407501,0.0039301626,-0.003028886904940009,1000.0,0.2,-4.250318717956543,0.0001,0.0041015625,220,0.9976452589035034
12288,24,42,286,0.15211441051214933,-0.00222986051812768,-53.73655099999999,-0.02420508861541748,0.0047763013,-0.0014117464190348983,1000.0,0.2,-4.249212646484375,0.0001,0.006640625,230,0.9973215460777283
12800,25,43,297,1.6729396641254426,0.7996805906295776,-53.73655099999999,0.680833637714386,0.0029955255,-0.0013371915323659779,1000.0,0.2,-4.247901022434235,0.0001,0.001953125,240,0.996648907661438
13312,26,43,308,0.06154649646487087,0.00022997986525297165,-54.07796284615384,0.15986591577529907,0.009442495,-0.0028155067935585975,1000.0,0.2,-4.246092295646667,0.0001,0.0501953125,250,0.996219277381897
13824,27,43,320,0.7683022104203701,0.36475425958633423,-54.07796284615384,0.6550785005092621,0.004451645,-0.002480115683283657,1000.0,0.2,-4.2447774648666385,0.0001,0.004296875,260,0.9958146810531616
14336,28,43,332,0.0943468464014586,-0.003185344859957695,-55.38084685714285,-0.07379627227783203,0.006221764,-0.002160950470715761,1000.0,0.2,-4.243829333782196,0.0001,0.0109375,270,0.9954642057418823
14848,29,43,344,0.7181587770581246,0.25579941272735596,-55.38084685714285,0.46988749504089355,0.00072043505,0.0002356377779506147,1000.0,0.2,-4.24216376543045,0.0001,0.0,280,0.9950159788131714
15360,30,43,353,0.6011524498462677,0.2766403555870056,-56.21259993333332,0.2904402017593384,0.0055512907,-0.003836950077675283,1000.0,0.2,-4.241610217094421,0.0001,0.009375,290,0.9950011968612671
15872,31,43,364,0.5378170400857926,0.20295757055282593,-56.21259993333332,0.6473902761936188,0.008390749,-0.005795247736386955,1000.0,0.2,-4.240975606441498,0.0001,0.0513671875,300,0.994029700756073
16384,32,43,376,0.6937933318316937,0.3221253454685211,-57.0989835,0.33278512954711914,0.0045425454,-0.0026375041576102375,1000.0,0.2,-4.236544644832611,0.0001,0.0078125,310,0.9925142526626587
16896,33,43,390,0.9124453783035278,0.3572161793708801,-57.0989835,0.6037121415138245,0.000871302,-0.000635241880081594,1000.0,0.2,-4.235252952575683,0.0001,0.0,320,0.9937818050384521
