train/learning_rate,time/episodes,time/fps,rollout/ep_len_mean,train/loss,time/total_timesteps,train/n_updates,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed
0.0001,84,1105,97.25,3.585813045501709,8169,2017,0.8447890000000003,-193.60324375000002,7
0.0001,88,1105,97.2159090909091,0.003606501966714859,8555,2113,0.8374550000000004,-196.487246625,7
0.0001,92,1103,98.69565217391305,2.941730499267578,9080,2244,0.8274800000000004,-199.3456264456522,8
0.0001,96,1104,98.28125,6.878570079803467,9435,2333,0.8207349999999995,-204.35769659375,8
0.0001,100,1103,98.56,8.154327392578125,9856,2438,0.8127360000000005,-207.39234609000002,8
0.0001,104,1101,99.19,11.254853248596191,10325,2556,0.8038249999999995,-206.62737209000002,9
0.0001,108,1100,100.24,7.499125003814697,10730,2657,0.7961299999999997,-205.95519908999998,9
0.0001,112,1099,99.66,14.909581184387207,11119,2754,0.7887390000000002,-205.59074864,10
0.0001,116,1098,100.61,3.1622066497802734,11547,2861,0.7806070000000005,-204.42353244999998,10
0.0001,120,1095,102.02,9.537088394165039,12007,2976,0.7718670000000002,-203.4442395,10
0.0001,124,1089,102.44,2.5284695625305176,12488,3096,0.7627280000000001,-198.68781383,11
0.0001,128,1086,103.9,1.5805482864379883,13032,3232,0.7523920000000003,-202.72429459,11
0.0001,132,1083,105.91,0.1562119871377945,13539,3359,0.7427589999999996,-210.47565260999997,12
0.0001,136,1080,107.23,9.348957061767578,14066,3491,0.7327459999999997,-216.60026179,13
0.0001,140,1076,107.87,1.6989126205444336,14554,3613,0.7234739999999998,-222.08185748999998,13
0.0001,144,1075,108.77,8.466729164123535,15032,3732,0.7143920000000001,-225.88460712000003,13
0.0001,148,1071,110.52,0.6028063297271729,15583,3870,0.7039229999999997,-230.13023535000005,14
0.0001,152,1066,111.33,1.0519922971725464,16054,3988,0.6949739999999998,-229.11818112999998,15
0.0001,156,1062,113.59,12.309577941894531,16637,4134,0.6838969999999998,-233.45067022999996,15
0.0001,160,1058,115.83,0.15516097843647003,17195,4273,0.6732949999999998,-242.09109627,16
0.0001,164,1055,117.39,16.936134338378906,17745,4411,0.6628449999999999,-237.92785571000002,16
0.0001,168,1051,118.33,5.898027420043945,18291,4547,0.652471,-236.47346154,17
0.0001,172,1047,119.71,4.902026176452637,18895,4698,0.6409950000000002,-243.9284273,18
0.0001,176,1044,120.38,7.990503311157227,19403,4825,0.631343,-244.62986141999997,18
0.0001,180,1040,121.9,22.605648040771484,20009,4977,0.619829,-249.98962869999997,19
0.0001,184,1037,124.12,6.581614017486572,20581,5120,0.6089609999999996,-252.35646101999995,19
0.0001,188,1034,126.64,8.303956031799316,21219,5279,0.5968390000000003,-252.60005418,20
0.0001,192,1027,128.73,13.185493469238281,21953,5463,0.5828930000000001,-246.67180245000003,21
0.0001,196,1024,131.0,1.3556675910949707,22535,5608,0.5718350000000005,-247.23029558000002,22
0.0001,200,1018,133.56,0.6156919002532959,23212,5777,0.5589719999999998,-242.30702193000002,22
0.0001,204,1013,135.3,2.978299140930176,23855,5938,0.5467549999999998,-242.72312423,23
0.0001,208,1009,137.93,1.9801602363586426,24523,6105,0.5340629999999997,-238.82508517999997,24
0.0001,212,1002,142.1,6.258832931518555,25329,6307,0.5187490000000002,-237.45100908000003,25
0.0001,216,999,143.14,3.1645495891571045,25861,6440,0.5086409999999997,-232.59539287999993,25
0.0001,220,984,148.73,8.571256637573242,26880,6694,0.4892799999999997,-238.95118666,27
0.0001,224,974,153.51,6.272516250610352,27839,6934,0.471059,-236.93454898,28
0.0001,228,970,156.0,7.539778709411621,28632,7132,0.4559920000000003,-232.00274688,29
0.0001,232,965,159.11,13.243313789367676,29450,7337,0.44045000000000056,-228.09780093,30
0.0001,236,963,160.76,17.530906677246094,30142,7510,0.42730199999999996,-221.04351539999993,31
0.0001,240,955,164.73,4.167437553405762,31027,7731,0.4104869999999996,-213.39363073999996,32
0.0001,244,950,168.04,10.082204818725586,31836,7933,0.3951160000000006,-209.32033621,33
0.0001,248,939,173.82,11.640889167785645,32965,8216,0.3736649999999997,-205.15307435999995,35
0.0001,252,883,193.84,2.9941458702087402,35438,8834,0.3266780000000007,-204.62645711999997,40
0.0001,256,847,209.64,1.927708387374878,37601,9375,0.2855810000000002,-194.26588829,44
0.0001,260,816,221.94,16.889997482299805,39389,9822,0.25160899999999997,-183.58726331999998,48
0.0001,264,812,226.54,5.666379451751709,40399,10074,0.2324189999999997,-179.94595512999996,49
0.0001,268,810,229.93,0.7872347831726074,41284,10295,0.21560400000000035,-181.32509759,50
0.0001,272,792,239.85,3.3902552127838135,42880,10694,0.18527999999999945,-169.46993684999998,54
0.0001,276,791,243.98,21.21712303161621,43801,10925,0.1677810000000004,-173.01716529999993,55
0.0001,280,783,251.58,0.9176051616668701,45167,11266,0.14182699999999981,-165.29124236999996,57
0.0001,284,781,256.46,0.07749900221824646,46227,11531,0.12168699999999977,-161.5872799,59
0.0001,288,779,258.04,1.4910624027252197,47023,11730,0.10656300000000052,-158.84354709999997,60
0.0001,292,779,257.74,1.4653977155685425,47727,11906,0.09318699999999969,-161.04213391000002,61
0.0001,296,779,257.01,6.561409950256348,48236,12033,0.08351600000000015,-156.54874236999999,61
0.0001,300,778,257.8,4.591426372528076,48992,12222,0.06915200000000055,-154.34499852,62
0.0001,304,777,259.08,0.017574548721313477,49763,12415,0.05450300000000008,-154.70451475,64
0.0001,308,776,258.16,4.834729194641113,50339,12559,0.05,-161.95149325999998,64
0.0001,312,776,254.91,2.982773780822754,50820,12679,0.05,-164.2368162,65
0.0001,316,775,257.27,3.799659252166748,51588,12871,0.05,-165.44970266,66
0.0001,320,774,254.78,15.117301940917969,52358,13064,0.05,-159.48293961000002,67
0.0001,324,773,252.62,1.8515708446502686,53101,13250,0.05,-158.63513924,68
0.0001,328,772,251.56,4.501377105712891,53788,13421,0.05,-162.4887111,69
0.0001,332,772,249.28,10.541210174560547,54378,13569,0.05,-167.86785086,70
0.0001,336,771,248.72,10.316617965698242,55014,13728,0.05,-170.26643672999998,71
0.0001,340,770,247.2,4.829224586486816,55747,13911,0.05,-173.40437333000003,72
0.0001,344,769,246.82,6.049154281616211,56518,14104,0.05,-171.34699683999995,73
0.0001,348,768,243.1,6.4404096603393555,57275,14293,0.05,-169.14591099,74
0.0001,352,768,223.35,18.712080001831055,57773,14418,0.05,-174.54184719999998,75
0.0001,356,768,207.55,18.07935333251953,58356,14563,0.05,-185.51458363000006,75
0.0001,360,767,195.88,1.8893835544586182,58977,14719,0.05,-189.45024639000002,76
0.0001,364,767,192.11,0.053892478346824646,59610,14877,0.05,-194.7412653,77
0.0001,368,767,188.19,4.835695743560791,60103,15000,0.05,-197.86824594,78
0.0001,372,767,176.44,4.018958568572998,60524,15105,0.05,-209.33069405999996,78
0.0001,376,766,172.29,2.0114493370056152,61030,15232,0.05,-211.68823187,79
0.0001,380,766,164.27,0.17702002823352814,61594,15373,0.05,-216.58099518000006,80
0.0001,384,765,158.35,0.19631902873516083,62062,15490,0.05,-218.22626061000003,81
0.0001,388,765,154.65,0.5400791168212891,62488,15596,0.05,-222.61230475000005,81
0.0001,392,765,152.89,0.038848504424095154,63016,15728,0.05,-224.64842824,82
0.0001,396,765,152.49,3.5708494186401367,63485,15846,0.05,-229.91889852,82
0.0001,400,765,149.23,9.770569801330566,63915,15953,0.05,-236.97571953000002,83
0.0001,404,765,146.77,14.27554702758789,64440,16084,0.05,-236.66250662,84
0.0001,408,764,147.13,4.113155364990234,65052,16237,0.05,-231.99723631999998,85
0.0001,412,764,147.11,4.559109687805176,65531,16357,0.05,-232.58290395999995,85
0.0001,416,764,144.2,6.510659217834473,66008,16476,0.05,-239.96128073,86
0.0001,420,764,141.5,14.135778427124023,66508,16601,0.05,-246.48916549000006,87
0.0001,424,764,139.07,2.7921504974365234,67008,16726,0.05,-247.58940094999997,87
0.0001,428,763,138.52,0.5513029098510742,67640,16884,0.05,-248.13651033999997,88
0.0001,432,762,138.0,0.007553964387625456,68178,17019,0.05,-238.71666635999995,89
0.0001,436,761,137.51,1.817326545715332,68765,17166,0.05,-239.04681441999998,90
0.0001,440,760,136.65,13.436307907104492,69412,17327,0.05,-239.28273624999997,91
0.0001,444,759,134.91,15.436379432678223,70009,17477,0.05,-242.34778099000002,92
0.0001,448,758,133.31,9.332029342651367,70606,17626,0.05,-246.46414413,93
0.0001,452,757,134.51,3.5435218811035156,71224,17780,0.05,-248.69160918,94
0.0001,456,756,133.75,11.244384765625,71731,17907,0.05,-253.25356521999998,94
0.0001,460,756,131.35,0.3429855406284332,72112,18002,0.05,-259.00867934,95
0.0001,464,755,130.62,4.2563323974609375,72672,18142,0.05,-264.08620181000003,96
0.0001,468,755,129.89,12.835418701171875,73092,18247,0.05,-264.1643334,96
0.0001,472,754,130.45,11.284004211425781,73569,18367,0.05,-259.77786847,97
0.0001,476,753,131.35,2.0341908931732178,74165,18516,0.05,-257.27622851,98
0.0001,480,752,132.93,0.6448299884796143,74887,18696,0.05,-255.50258287,99
0.0001,484,751,134.0,9.872249603271484,75462,18840,0.05,-256.04186708,100
0.0001,488,751,134.23,4.346885681152344,75911,18952,0.05,-257.72220555,101
0.0001,492,750,134.25,1.6145401000976562,76441,19085,0.05,-260.66281569,101
0.0001,496,749,135.78,0.393266886472702,77063,19240,0.05,-256.66599411000004,102
0.0001,500,749,136.35,3.01949405670166,77550,19362,0.05,-257.49531934,103
0.0001,504,748,136.07,0.00026407797122374177,78047,19486,0.05,-262.14823356,104
0.0001,508,748,135.07,7.84232234954834,78559,19614,0.05,-264.66534166,105
0.0001,512,747,135.02,3.240443229675293,79033,19733,0.05,-261.07690758999996,105
0.0001,516,747,134.9,6.848066329956055,79498,19849,0.05,-257.50601134,106
0.0001,520,746,136.61,2.0639524459838867,80169,20017,0.05,-254.05039312999997,107
0.0001,524,745,136.88,15.625810623168945,80696,20148,0.05,-256.30041807,108
0.0001,528,744,136.24,0.7306580543518066,81264,20290,0.05,-254.68102766,109
0.0001,532,744,137.16,3.619044303894043,81894,20448,0.05,-259.28096358,110
0.0001,536,743,136.76,2.0291614532470703,82441,20585,0.05,-260.79975402,110
0.0001,540,743,134.47,13.282416343688965,82859,20689,0.05,-257.61344848,111
0.0001,544,742,133.93,14.508588790893555,83402,20825,0.05,-259.79555816,112
0.0001,548,742,133.01,4.236810684204102,83907,20951,0.05,-261.56956593,113
0.0001,552,741,132.21,9.145498275756836,84445,21086,0.05,-260.33923077000003,113
0.0001,556,741,130.11,0.06865441799163818,84742,21160,0.05,-256.76894353000006,114
0.0001,560,741,130.55,5.452043533325195,85167,21266,0.05,-250.91259322999997,114
0.0001,564,740,130.36,6.7404046058654785,85708,21401,0.05,-245.08100642000002,115
0.0001,568,740,131.4,0.007039868272840977,86232,21532,0.05,-245.69369344999998,116
0.0001,572,739,132.12,22.490459442138672,86781,21670,0.05,-247.17758582,117
0.0001,576,739,130.58,0.7106649875640869,87223,21780,0.05,-246.63631841000003,117
0.0001,580,738,128.63,9.65738296508789,87750,21912,0.05,-248.28533742,118
0.0001,584,738,127.98,0.8768324851989746,88260,22039,0.05,-243.22946679,119
0.0001,588,738,127.83,4.987449645996094,88694,22148,0.05,-235.82380197999996,120
0.0001,592,736,131.38,11.954059600830078,89579,22369,0.05,-229.83710735,121
0.0001,596,735,132.43,0.0012975651770830154,90306,22551,0.05,-223.21474749,122
0.0001,600,734,131.93,5.373619079589844,90743,22660,0.05,-220.40389551000004,123
0.0001,604,734,131.28,8.95515251159668,91175,22768,0.05,-216.60796,124
0.0001,608,734,130.81,2.3424739837646484,91640,22884,0.05,-216.35476597000002,124
0.0001,612,733,130.43,1.9647445678710938,92076,22993,0.05,-219.5355475,125
0.0001,616,733,131.85,3.589874267578125,92683,23145,0.05,-223.6627338,126
0.0001,620,732,130.25,1.4212779998779297,93194,23273,0.05,-223.86100839,127
0.0001,624,731,131.85,1.7247378826141357,93881,23445,0.05,-218.38845936,128
0.0001,628,731,131.2,0.055442020297050476,94384,23570,0.05,-220.85193685,129
0.0001,632,731,129.47,0.14669793844223022,94841,23685,0.05,-222.21270173000002,129
0.0001,636,731,129.45,7.80584716796875,95386,23821,0.05,-222.68580831000003,130
0.0001,640,731,129.76,4.00848388671875,95835,23933,0.05,-223.75080022000003,130
0.0001,644,731,128.89,8.623626708984375,96291,24047,0.05,-221.93205297,131
0.0001,648,732,128.32,1.7266845703125,96739,24159,0.05,-221.08112334999998,132
0.0001,652,732,128.98,7.378944396972656,97343,24310,0.05,-221.23094397000006,132
