rollout/ep_rew_mean,train/learning_rate,train/n_updates,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,train/loss,rollout/exploration_rate
-132.99157125,0.0001,54,318,491,4,79.5,0,7.29647970199585,0.9939580000000003
-175.53566925,0.0001,141,668,577,8,83.5,1,3.2257370948791504,0.987308
-170.9974001666667,0.0001,233,1035,615,12,86.25,1,0.773993730545044,0.9803349999999998
-174.2825440625,0.0001,333,1433,633,16,89.5625,2,0.6577962636947632,0.9727729999999997
-186.98014824999998,0.0001,451,1907,645,20,95.35,2,1.8928422927856445,0.9637670000000002
-172.30313958333332,0.0001,522,2192,651,24,91.33333333333333,3,0.7164467573165894,0.9583519999999994
-176.24660292857143,0.0001,639,2660,656,28,95.0,4,1.761776328086853,0.9494600000000001
-176.082609625,0.0001,723,2994,660,32,93.5625,4,0.9402520656585693,0.9431140000000001
-167.40659491666668,0.0001,806,3328,662,36,92.44444444444444,5,9.857355117797852,0.936768
-160.26420715,0.0001,893,3675,663,40,91.875,5,0.673461377620697,0.9301750000000003
-164.6386195909091,0.0001,986,4047,663,44,91.97727272727273,6,1.2191261053085327,0.9231069999999996
-164.53366131249996,0.0001,1089,4459,662,48,92.89583333333333,6,0.5998038053512573,0.9152790000000002
-162.19206388461532,0.0001,1176,4806,660,52,92.42307692307692,7,1.7099876403808594,0.9086860000000004
-155.11512030357144,0.0001,1274,5199,660,56,92.83928571428571,7,1.5258504152297974,0.9012189999999999
-161.3496066666667,0.0001,1395,5681,657,60,94.68333333333334,8,2.0165328979492188,0.8920610000000002
-158.836025640625,0.0001,1487,6051,657,64,94.546875,9,0.8536196351051331,0.8850310000000006
-165.19423727941177,0.0001,1597,6490,656,68,95.44117647058823,9,2.1737635135650635,0.8766900000000001
-163.25448775,0.0001,1908,7733,603,72,107.40277777777777,12,0.7186140418052673,0.8530730000000002
-170.7481030131579,0.0001,2014,8159,603,76,107.35526315789474,13,2.574430465698242,0.8449789999999995
-166.14237435,0.0001,2122,8591,605,80,107.3875,14,0.7392343282699585,0.8367709999999997
-161.6766030714286,0.0001,2200,8901,605,84,105.96428571428571,14,1.023641586303711,0.8308810000000002
-168.64145032954545,0.0001,2334,9438,606,88,107.25,15,1.2515069246292114,0.820678
-167.59056748913042,0.0001,2446,9885,606,92,107.44565217391305,16,0.8245205879211426,0.8121850000000005
-167.05702736458332,0.0001,2568,10375,606,96,108.07291666666667,17,1.0097455978393555,0.8028749999999996
-165.26549641000003,0.0001,2670,10784,607,100,107.84,17,0.3328905701637268,0.7951039999999997
