rollout/exploration_rate,rollout/ep_len_mean,train/loss,time/episodes,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,time/time_elapsed,train/learning_rate,time/fps
0.9922099999999996,102.5,6.3515119552612305,4,-296.45808,410,77,0,0.0001,681
0.9862059999999999,90.75,7.543785095214844,8,-214.716533125,726,156,0,0.0001,837
0.9791000000000002,91.66666666666667,0.0020787317771464586,12,-240.88478750000002,1100,249,1,0.0001,931
0.9704740000000001,97.125,8.598729133605957,16,-224.16196725,1554,363,1,0.0001,989
0.9626079999999995,98.4,2.8457164764404297,20,-220.87612559999997,1968,466,1,0.0001,1024
0.9557869999999995,96.95833333333333,2.3826727867126465,24,-227.52277929166667,2327,556,2,0.0001,1043
0.947256,99.14285714285714,3.689098834991455,28,-224.75715135714285,2776,668,2,0.0001,1059
0.9399789999999996,98.71875,0.016013367101550102,32,-214.50609365625002,3159,764,2,0.0001,1068
0.9313910000000005,100.30555555555556,8.95898723602295,36,-221.06201247222222,3611,877,3,0.0001,1078
0.9238290000000003,100.225,12.345242500305176,40,-221.414212975,4009,977,3,0.0001,1083
0.9178060000000001,98.31818181818181,2.1631767749786377,44,-211.1256246136364,4326,1056,3,0.0001,1089
0.9089139999999997,99.875,8.545400619506836,48,-214.60216047916666,4794,1173,4,0.0001,1093
0.9020929999999996,99.09615384615384,2.823378562927246,52,-206.35984517307693,5153,1263,4,0.0001,1095
0.893999,99.625,7.547283172607422,56,-202.65677764285715,5579,1369,5,0.0001,1095
0.8853160000000003,100.6,1.3036887645721436,60,-199.5625395,6036,1483,5,0.0001,1095
0.878115,100.234375,0.4989558458328247,64,-196.91133854687502,6415,1578,5,0.0001,1097
0.8704960000000002,100.23529411764706,4.480136871337891,68,-195.2434258529412,6816,1678,6,0.0001,1097
0.8624970000000002,100.51388888888889,0.44426682591438293,72,-191.16656991666665,7237,1784,6,0.0001,1090
0.8530539999999996,101.76315789473684,5.4172892570495605,76,-199.73042926315787,7734,1908,7,0.0001,1083
0.8358209999999998,108.0125,7.208968639373779,80,-204.2348334375,8641,2135,8,0.0001,1043
0.8272709999999998,108.22619047619048,4.64215612411499,84,-207.31735198809523,9091,2247,8,0.0001,1037
0.8210580000000004,107.02272727272727,6.96124792098999,88,-209.88917564772728,9418,2329,9,0.0001,1034
0.8141230000000003,106.33695652173913,0.1498132050037384,92,-213.6203103804348,9783,2420,9,0.0001,1031
0.8055539999999997,106.60416666666667,4.07045841217041,96,-211.9138550416667,10234,2533,9,0.0001,1027
0.7972130000000003,106.73,24.385223388671875,100,-211.16118046000008,10673,2643,10,0.0001,1023
0.7881500000000001,107.4,4.013509750366211,104,-207.70223646000005,11150,2762,10,0.0001,1020
0.7798469999999997,108.61,1.0012212991714478,108,-208.17772089,11587,2871,11,0.0001,1017
0.7708410000000002,109.61,1.112327218055725,112,-205.42620196,12061,2990,11,0.0001,1012
0.7639440000000002,108.7,0.5753841400146484,116,-207.41534963,12424,3080,12,0.0001,1010
0.7564960000000002,108.48,1.2958259582519531,120,-208.08975851999995,12816,3178,12,0.0001,1008
0.7463500000000005,110.23,19.48907470703125,124,-212.93470254,13350,3312,13,0.0001,1003
0.7385029999999996,109.87,6.44938850402832,128,-218.44736777000006,13763,3415,13,0.0001,1001
0.7296870000000002,110.68,1.188868761062622,132,-225.09127456000002,14227,3531,14,0.0001,998
0.720472,111.01,7.6272382736206055,136,-220.14666253999997,14712,3652,14,0.0001,995
0.7127010000000001,111.12,4.2067790031433105,140,-224.21479332,15121,3755,15,0.0001,992
0.7043030000000001,112.37,2.7613677978515625,144,-226.58997492999998,15563,3865,15,0.0001,989
0.6911169999999996,114.63,5.902608871459961,148,-224.30972284000003,16257,4039,16,0.0001,987
0.6832890000000003,115.16,5.785397529602051,152,-223.96707145999997,16669,4142,16,0.0001,987
0.6750239999999998,115.25,0.7788591384887695,156,-229.2219702,17104,4250,17,0.0001,987
0.6661320000000005,115.36,3.403369426727295,160,-231.96112788,17572,4367,17,0.0001,987
0.6561379999999999,116.83,0.08012644946575165,164,-234.87101900999997,18098,4499,18,0.0001,986
0.6458969999999997,118.21,0.7629317045211792,168,-236.97500217999996,18637,4634,18,0.0001,986
0.6350290000000005,119.72,1.628129482269287,172,-240.94923627,19209,4777,19,0.0001,985
0.6212730000000004,121.99,5.704535007476807,176,-230.94257786000003,19933,4958,20,0.0001,981
0.6088660000000001,119.45,4.040577411651611,180,-228.17130542000007,20586,5121,21,0.0001,978
0.598663,120.32,10.04206657409668,184,-227.74766758,21123,5255,21,0.0001,978
0.5693079999999997,132.5,5.352012634277344,188,-227.77657390000002,22668,5641,24,0.0001,938
0.5561220000000002,135.79,0.362992525100708,192,-219.47288246,23362,5815,24,0.0001,936
0.5408079999999996,139.34,9.697400093078613,196,-219.74612766999996,24168,6016,25,0.0001,932
0.5272799999999997,142.07,1.2637437582015991,200,-221.63668281999995,24880,6194,26,0.0001,930
0.5110540000000005,145.84,3.5508880615234375,204,-220.11614998000005,25734,6408,27,0.0001,920
0.4959300000000001,149.43,1.6103787422180176,208,-219.10159132,26530,6607,28,0.0001,918
0.47981799999999986,153.17,1.03994619846344,212,-215.73360054999998,27378,6819,29,0.0001,914
