rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/exploration_rate,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss
97.06818181818181,13,88,0.8377020000000002,8542,654,-189.97152811363637,2110,0.0001,0.7051421999931335
97.68478260869566,13,92,0.8292469999999996,8987,652,-185.49297092391305,2221,0.0001,0.5151304006576538
98.53125,14,96,0.8202790000000001,9459,651,-184.59212832291666,2339,0.0001,3.942544460296631
99.09,15,100,0.8117289999999999,9909,651,-182.96357238000002,2452,0.0001,0.6668871641159058
99.9,15,104,0.8031980000000004,10358,651,-180.97866476,2564,0.0001,0.9443830847740173
99.52,16,108,0.7968140000000004,10694,652,-179.9114284,2648,0.0001,4.295835018157959
99.49,17,112,0.7888530000000004,11113,650,-175.07748647,2753,0.0001,0.5810772776603699
100.65,17,116,0.7802459999999997,11566,648,-176.93398357,2866,0.0001,3.3536441326141357
101.61,18,120,0.7698719999999998,12112,646,-175.73838762,3002,0.0001,2.9792912006378174
110.88,21,124,0.7448869999999996,13427,619,-170.79573781000002,3331,0.0001,0.7137542963027954
112.44,22,128,0.7354249999999997,13925,618,-166.83163024,3456,0.0001,1.3927743434906006
114.05,23,132,0.7245759999999999,14496,617,-166.99027963,3598,0.0001,0.8542402982711792
114.41,24,136,0.7160450000000003,14945,616,-165.0108855,3711,0.0001,0.8091042041778564
114.98,25,140,0.7075710000000003,15391,615,-160.78624487000002,3822,0.0001,0.9106237292289734
116.25,25,144,0.6977860000000005,15906,614,-155.59064572,3951,0.0001,1.2858054637908936
118.5,26,148,0.6868040000000001,16484,613,-149.56841086000003,4095,0.0001,0.7153264284133911
119.49,27,152,0.6771710000000004,16991,612,-145.28757258,4222,0.0001,1.5266437530517578
120.77,28,156,0.6669489999999997,17529,610,-142.60851366999998,4357,0.0001,0.4589848518371582
122.46,29,160,0.6574300000000002,18030,608,-138.20028917,4482,0.0001,0.8447672128677368
123.79,30,164,0.6481960000000004,18516,607,-135.0693173,4603,0.0001,4.032689094543457
125.9,31,168,0.6367770000000001,19117,605,-128.00204821,4754,0.0001,3.645395278930664
127.36,32,172,0.6270109999999999,19631,604,-125.18885305999999,4882,0.0001,0.6755669713020325
128.31,33,176,0.6165420000000004,20182,602,-121.84923896000001,5020,0.0001,0.9212642908096313
129.57,34,180,0.607137,20677,600,-117.62468559000001,5144,0.0001,3.798023223876953
131.6,35,184,0.5946730000000002,21333,598,-117.93222662999999,5308,0.0001,1.2622772455215454
134.43,36,188,0.5822850000000005,21985,598,-115.56860529999999,5471,0.0001,1.2976361513137817
143.78,39,192,0.5560649999999996,23365,585,-113.73607057999999,5816,0.0001,0.6978960037231445
149.73,42,196,0.5357919999999998,24432,578,-112.08190154,6082,0.0001,3.6887598037719727
151.5,43,200,0.5238790000000001,25059,577,-109.98575613000001,6239,0.0001,1.2863128185272217
153.06,44,204,0.5123839999999997,25664,576,-112.24873773000002,6390,0.0001,1.1091315746307373
160.61,46,208,0.4916550000000005,26755,572,-111.77159692,6663,0.0001,3.9761481285095215
164.46,48,212,0.4763790000000001,27559,570,-112.0316569,6864,0.0001,0.6832380890846252
167.42,49,216,0.462148,28308,569,-111.47705147,7051,0.0001,0.723312497138977
169.67,51,220,0.44749899999999965,29079,566,-108.80928,7244,0.0001,3.10520076751709
166.59,53,224,0.428366,30086,563,-110.11682498,7496,0.0001,1.0026628971099854
170.39,55,228,0.41168400000000016,30964,562,-108.40499665000002,7715,0.0001,0.7761955857276917
177.69,57,232,0.3869650000000002,32265,559,-111.35170077,8041,0.0001,1.1035113334655762
191.2,62,236,0.3527649999999999,34065,548,-111.35648225000003,8491,0.0001,3.6448912620544434
205.59,67,240,0.3169500000000004,35950,535,-110.15989508000001,8962,0.0001,0.9197230339050293
212.14,69,244,0.2947200000000004,37120,533,-108.46874929999998,9254,0.0001,0.9900145530700684
230.09,75,248,0.2496330000000001,39493,521,-106.44957160000001,9848,0.0001,3.5460212230682373
243.14,80,252,0.21520500000000042,41305,511,-104.82662435999998,10301,0.0001,0.6430004835128784
255.72,85,256,0.18108100000000005,43101,502,-107.87952287999998,10750,0.0001,3.842991590499878
267.33,90,260,0.14950300000000016,44763,496,-105.83867056,11165,0.0001,0.8269364237785339
279.92,94,264,0.11634800000000012,46508,491,-106.53747751999998,11601,0.0001,1.058976411819458
296.42,101,268,0.07357900000000017,48759,481,-108.30194964999998,12164,0.0001,0.8987980484962463
312.33,107,272,0.05,50864,474,-105.57252638999998,12690,0.0001,1.2824944257736206
320.23,110,276,0.05,52205,472,-105.24579837000002,13026,0.0001,4.013138294219971
329.36,113,280,0.05,53613,471,-103.0024645,13378,0.0001,1.0710663795471191
346.07,120,284,0.05,55940,463,-91.59800889,13959,0.0001,0.5332884192466736
352.84,123,288,0.05,57269,462,-92.00620205999999,14292,0.0001,0.5126924514770508
354.69,127,292,0.05,58834,460,-91.77616977999998,14683,0.0001,0.5703655481338501
355.56,130,296,0.05,59988,460,-91.93681049999999,14971,0.0001,1.0047320127487183
360.72,133,300,0.05,61131,459,-94.21179376,15257,0.0001,0.7590351104736328
366.39,135,304,0.05,62303,458,-93.51985960000002,15550,0.0001,0.6032629609107971
368.26,138,308,0.05,63581,458,-93.52923338999999,15870,0.0001,1.2726800441741943
371.14,141,312,0.05,64673,457,-92.42733123,16143,0.0001,0.761749804019928
378.73,144,316,0.05,66181,457,-87.31015550000001,16520,0.0001,0.6004444360733032
387.16,148,320,0.05,67795,455,-85.79760154000002,16923,0.0001,3.4022741317749023
391.72,152,324,0.05,69258,455,-82.64510983,17289,0.0001,0.5563964247703552
397.42,155,328,0.05,70706,454,-82.42988933999997,17651,0.0001,1.472662091255188
410.92,163,332,0.05,73357,449,-73.08888557999998,18314,0.0001,1.7382692098617554
403.01,165,336,0.05,74366,449,-75.72208897,18566,0.0001,3.632680892944336
402.14,169,340,0.05,76164,448,-73.73430099000001,19015,0.0001,0.41918718814849854
403.12,172,344,0.05,77432,447,-75.77598609,19332,0.0001,0.638425886631012
393.94,176,348,0.05,78887,446,-72.16878519999999,19696,0.0001,0.5670952796936035
388.58,179,352,0.05,80163,446,-73.80963806999999,20015,0.0001,1.3262537717819214
382.13,182,356,0.05,81314,446,-70.18849096,20303,0.0001,0.7178666591644287
378.01,185,360,0.05,82564,445,-72.31582405,20615,0.0001,1.269966721534729
372.05,187,364,0.05,83713,445,-72.0322304,20903,0.0001,1.041201114654541
366.59,193,368,0.05,85418,441,-69.94373895,21329,0.0001,1.018291711807251
363.58,199,372,0.05,87222,437,-68.02530171000001,21780,0.0001,0.8470776081085205
363.54,202,376,0.05,88559,437,-67.72625809,22114,0.0001,0.7815868854522705
359.81,204,380,0.05,89594,437,-67.79748005999998,22373,0.0001,1.3200584650039673
349.81,208,384,0.05,90921,436,-71.41586671999998,22705,0.0001,0.6178622245788574
349.71,211,388,0.05,92240,436,-67.27938441999999,23034,0.0001,1.173619270324707
342.75,213,392,0.05,93109,437,-67.01866566999999,23252,0.0001,1.0342767238616943
339.81,214,396,0.05,93969,437,-66.30741125,23467,0.0001,1.1186150312423706
354.17,223,400,0.05,96548,431,-64.79276082999999,24111,0.0001,0.364399254322052
370.63,232,404,0.05,99366,427,-62.534095900000004,24816,0.0001,0.787746012210846
375.38,237,408,0.05,101119,425,-61.712751659999995,25254,0.0001,0.8838495016098022
388.49,245,412,0.05,103522,422,-62.707789309999995,25855,0.0001,0.6573870778083801
383.48,247,416,0.05,104529,422,-63.13737033000001,26107,0.0001,0.3858443796634674
382.97,252,420,0.05,106092,420,-67.95954619,26497,0.0001,4.080235958099365
389.17,257,424,0.05,108175,419,-68.71399184,27018,0.0001,0.5877485275268555
