rollout/exploration_rate,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/learning_rate,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/n_updates
0.9939200000000002,80.0,4,320,0.0001,0,421,-218.3649785,5.791536331176758,54
0.9866620000000004,87.75,8,702,0.0001,1,456,-189.641886375,4.347921371459961,150
0.9790429999999997,91.91666666666667,12,1103,0.0001,2,457,-202.13777725000003,4.527277946472168,250
0.9715,93.75,16,1500,0.0001,3,456,-199.7478699375,1.2691867351531982,349
0.9651350000000005,91.75,20,1835,0.0001,4,456,-207.75236950000004,0.8105984330177307,433
0.9579340000000001,92.25,24,2214,0.0001,4,454,-195.58891841666664,3.388610601425171,528
0.9518160000000003,90.57142857142857,28,2536,0.0001,5,456,-185.76841032142855,1.4354389905929565,608
0.9441589999999995,91.84375,32,2939,0.0001,6,457,-183.64769437500001,4.008072853088379,709
0.9370529999999998,92.02777777777777,36,3313,0.0001,7,454,-174.0382158611111,4.015501499176025,803
0.9290159999999996,93.4,40,3736,0.0001,8,454,-183.18564874999998,3.8898611068725586,908
0.9223469999999999,92.88636363636364,44,4087,0.0001,9,452,-193.26570229545453,7.072634696960449,996
0.9161719999999995,91.91666666666667,48,4412,0.0001,9,450,-191.1402362291667,0.661090612411499,1077
0.909256,91.84615384615384,52,4776,0.0001,10,450,-197.4837245961539,1.649989366531372,1168
0.9007630000000004,93.26785714285714,56,5223,0.0001,11,450,-195.35015767857143,3.6114661693573,1280
0.8939040000000005,93.06666666666666,60,5584,0.0001,12,450,-192.29863446666667,4.114728927612305,1370
0.8836250000000002,95.703125,64,6125,0.0001,13,449,-189.45727253125,0.3979012072086334,1506
0.8757589999999997,96.16176470588235,68,6539,0.0001,14,449,-185.91339674999998,0.7137497067451477,1609
0.8688050000000002,95.90277777777777,72,6905,0.0001,15,446,-188.83680869444444,1.145298957824707,1701
0.8610340000000003,96.23684210526316,76,7314,0.0001,16,445,-188.16167589473685,0.934646725654602,1803
0.8524269999999996,97.0875,80,7767,0.0001,17,445,-185.49034536250002,0.4695681631565094,1916
0.8459479999999999,96.52380952380952,84,8108,0.0001,18,444,-183.07536898809525,1.1415584087371826,2001
0.8371510000000001,97.39772727272727,88,8571,0.0001,19,442,-184.27724207954546,0.5469588041305542,2117
0.8287530000000002,97.96739130434783,92,9013,0.0001,20,440,-182.38629098913043,3.723045587539673,2228
0.8206019999999999,98.35416666666667,96,9442,0.0001,21,439,-179.62005170833336,0.4237104058265686,2335
0.8124889999999997,98.69,100,9869,0.0001,22,437,-178.00873463000005,0.4154026210308075,2442
0.8050600000000001,99.4,104,10260,0.0001,23,437,-173.45660355,4.324942111968994,2539
0.7966809999999998,99.99,108,10701,0.0001,24,434,-171.74450442000006,1.1072723865509033,2650
0.7882449999999996,100.42,112,11145,0.0001,25,434,-168.90368181999997,0.9328266978263855,2761
0.7813859999999997,100.06,116,11506,0.0001,26,433,-164.4482734,1.1737053394317627,2851
0.773881,100.66,120,11901,0.0001,27,432,-158.73385858000003,0.7789817452430725,2950
0.7649320000000002,101.58,124,12372,0.0001,28,431,-161.17791261,1.1134228706359863,3067
0.7554509999999997,103.35,128,12871,0.0001,29,430,-161.38344241000001,0.24344895780086517,3192
0.7453619999999995,104.63,132,13402,0.0001,31,428,-163.08054983000002,0.7329604625701904,3325
0.72051,113.97,136,14710,0.0001,35,417,-160.85107808,0.6050493717193604,3652
0.7115229999999999,114.47,140,15183,0.0001,36,416,-155.93191999,0.9793278574943542,3770
0.7030680000000005,115.41,144,15628,0.0001,37,415,-148.61758199,0.5056358575820923,3881
0.6925420000000005,117.7,148,16182,0.0001,39,413,-145.31076208000002,0.8361514210700989,4020
0.6831750000000001,118.99,152,16675,0.0001,40,413,-138.54617869,3.809640407562256,4143
0.6727630000000002,120.0,156,17223,0.0001,41,411,-136.09635935,3.147179126739502,4280
0.658304,124.0,160,17984,0.0001,44,408,-133.67195271999998,0.6900057792663574,4470
0.6484810000000003,123.76,164,18501,0.0001,45,407,-134.68743499,0.6028360724449158,4600
0.6353140000000003,126.55,168,19194,0.0001,47,406,-134.89331359,0.5318185091018677,4773
0.6250160000000005,128.31,172,19736,0.0001,48,405,-129.88382368,0.562146782875061,4908
0.615022,129.48,176,20262,0.0001,50,403,-125.79661616999998,8.051902770996094,5040
0.6031090000000001,131.22,180,20889,0.0001,51,402,-124.38128318999999,1.1603134870529175,5197
0.5930389999999996,133.11,184,21419,0.0001,53,401,-122.82857175999999,0.6345292925834656,5329
0.5797959999999995,135.45,188,22116,0.0001,55,399,-119.32222827,0.5734602808952332,5503
0.570201,136.08,192,22621,0.0001,56,399,-117.59898707,3.7433319091796875,5630
0.5616889999999999,136.27,196,23069,0.0001,57,399,-115.7882085,1.8622095584869385,5742
0.5507829999999996,137.74,200,23643,0.0001,59,398,-115.63431587999999,0.9553082585334778,5885
0.5376159999999996,140.76,204,24336,0.0001,61,396,-113.95074695000001,0.815543532371521,6058
0.5241070000000003,143.46,208,25047,0.0001,63,395,-114.08184103000002,0.5824334621429443,6236
0.508945,147.0,212,25845,0.0001,65,392,-110.81965471,1.612718105316162,6436
0.4948469999999996,150.81,216,26587,0.0001,67,391,-111.61846426,0.4951182007789612,6621
0.4835989999999999,152.78,220,27179,0.0001,69,390,-111.19002823,1.0435056686401367,6769
0.4685889999999997,155.97,224,27969,0.0001,72,388,-105.00294440000002,0.8239795565605164,6967
0.4472710000000004,162.2,228,29091,0.0001,75,384,-104.19920161999998,1.1901326179504395,7247
0.4309120000000005,165.5,232,29952,0.0001,78,382,-100.62975323,3.786223888397217,7462
0.4134699999999999,161.6,236,30870,0.0001,81,379,-104.54561521,0.6399673223495483,7692
0.37450100000000053,177.38,240,32921,0.0001,88,371,-100.20223699999998,4.04271125793457,8205
0.35945300000000024,180.85,244,33713,0.0001,91,369,-99.10441275,0.6246662139892578,8403
0.32886300000000024,191.41,248,35323,0.0001,97,363,-98.95216088,1.4233922958374023,8805
0.28512499999999963,209.5,252,37625,0.0001,106,354,-97.59285092000002,3.9636592864990234,9381
0.24813200000000024,223.49,256,39572,0.0001,113,347,-93.24492565999999,0.8950554728507996,9867
0.2168009999999999,232.37,260,41221,0.0001,120,343,-94.41095557999999,1.0241422653198242,10280
0.1542720000000002,260.11,264,44512,0.0001,135,328,-86.04180050000001,0.7245693206787109,11102
0.07827200000000001,293.18,268,48512,0.0001,154,313,-84.4657682,0.666405439376831,12102
0.05,327.76,272,52512,0.0001,174,300,-84.24046252,0.9978150129318237,13102
0.05,362.5,276,56512,0.0001,192,293,-85.63956629999998,0.8289710283279419,14102
0.05,396.23,280,60512,0.0001,211,286,-86.83375592,0.7453335523605347,15102
0.05,430.93,284,64512,0.0001,229,281,-85.13288332,1.2614915370941162,16102
0.05,463.96,288,68512,0.0001,248,275,-85.30314031,0.4362581670284271,17102
0.05,498.91,292,72512,0.0001,268,269,-85.36103514,0.4852469563484192,18102
0.05,534.43,296,76512,0.0001,287,266,-86.87709601000002,1.1406667232513428,19102
0.05,568.69,300,80512,0.0001,306,262,-86.63457875,0.6861769556999207,20102
0.05,601.76,304,84512,0.0001,326,258,-87.7359055,0.7702804803848267,21102
0.05,634.65,308,88512,0.0001,346,255,-86.85490068000001,0.6028925180435181,22102
0.05,666.67,312,92512,0.0001,366,252,-87.6981112,0.30380555987358093,23102
0.05,699.25,316,96512,0.0001,386,249,-88.48048637999999,1.023348331451416,24102
0.05,733.33,320,100512,0.0001,405,247,-88.79243084000001,0.8388110995292664,25102
0.05,765.43,324,104512,0.0001,426,245,-92.83787480000001,4.09547233581543,26102
0.05,794.21,328,108512,0.0001,446,242,-93.43464806999998,0.7546754479408264,27102
0.05,825.6,332,112512,0.0001,466,240,-93.38975491000001,0.853143572807312,28102
