time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/clip_range,rollout/ep_len_mean,train/loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/n_updates
167936,54,41,3106,-0.7481499874964357,0.023240069,0.1621337890625,0.9762602634727955,0.2,977.18,1.908847689628601,-0.0025005064220749774,14.047045592218637,0.0002,631.6416244899999,400
172032,54,42,3177,-0.9004405668005347,0.054416664,0.167919921875,0.9933451293036342,0.2,975.24,1.8172643184661865,-0.0005579241988016292,4.609230671077967,0.0002,647.72476036,410
176128,54,43,3247,-0.5908103914931416,0.010487326,0.1177001953125,0.9595742449164391,0.2,975.24,2.7002885341644287,0.002370488364249468,22.143515805900098,0.0002,655.8604265600001,420
180224,54,44,3317,-0.7522431647405028,0.023990389,0.1470703125,0.9784896802157164,0.2,975.24,2.1360795497894287,-0.005931546941428678,11.354468682408333,0.0002,667.7881638199999,430
184320,54,45,3388,-0.5993048204109073,0.016819075,0.1524169921875,0.9406259767711163,0.2,975.24,11.182534217834473,0.002902002558403183,34.19712834060192,0.0002,671.44452547,440
188416,54,46,3458,-0.50335343927145,0.017855398,0.129150390625,0.9113823920488358,0.2,970.82,9.581144332885742,-4.303035675548017e-05,33.240669935941696,0.0002,680.4409899300001,450
192512,54,47,3533,-0.5708593553863466,0.016920155,0.13984375,0.9493102207779884,0.2,968.02,8.018016815185547,0.0023307450726861136,34.04269044697285,0.0002,676.2527851800002,460
196608,54,48,3606,-0.9008027045056224,0.09276709,0.13857421875,0.9509028568863869,0.2,968.02,8.509343147277832,-0.006817732208583038,30.778401128947735,0.0002,665.7062286500001,470
200704,54,49,3680,-1.1695883743464948,0.052509263,0.2128173828125,0.9789211135357618,0.2,968.02,1.4244426488876343,0.011667497945018113,4.60161706097424,0.0002,639.67749178,480
204800,54,50,3754,-0.7799632033333183,0.014115606,0.16162109375,0.929527997970581,0.2,968.02,2.232741594314575,0.002651073987362906,12.89428336173296,0.0002,615.39823418,490
208896,54,51,3826,-0.8629476472735405,0.027093567,0.1890625,0.9576322212815285,0.2,968.02,1.2442821264266968,0.0002939623111160472,4.915690471604466,0.0002,608.09328951,500
212992,54,52,3898,-0.5631237532012164,0.027433002,0.155224609375,0.9781416691839695,0.2,970.35,1.5165038108825684,0.008097292867023497,8.780242536962032,0.0002,595.62480142,510
217088,54,53,3968,-0.7477848511189222,0.02907689,0.1076416015625,0.969099473208189,0.2,972.72,1.9394460916519165,-0.0017495704640168696,11.608914445340634,0.0002,585.68899586,520
221184,54,54,4038,-0.7947203511372208,0.02756375,0.124072265625,0.9720122572034597,0.2,975.89,1.528848648071289,-0.002054131348268129,14.464776945114135,0.0002,579.13704061,530
225280,54,55,4111,-0.7040499230846763,0.0191569,0.1105224609375,0.9675778783857822,0.2,975.96,4.80416202545166,-0.0013549834722653032,15.367395892739296,0.0002,570.99070516,540
229376,54,56,4182,-0.6197661089710891,0.012972838,0.1123046875,0.9696441646665335,0.2,979.35,3.1597859859466553,6.06776331551373e-05,17.177189180254935,0.0002,566.90084919,550
233472,54,57,4260,-0.610301966033876,0.021137992,0.140380859375,0.9619371928274632,0.2,979.42,2.9477896690368652,0.00038552047772100195,12.230665569752455,0.0002,560.60650804,560
237568,54,58,4332,-0.35417256467044356,0.022723846,0.109716796875,0.9484146870672703,0.2,979.87,4.529612064361572,0.001740468927891925,22.40366907864809,0.0002,557.1655181,570
241664,54,59,4408,-0.5117550287395716,0.014892805,0.1206298828125,0.9643442668020725,0.2,981.28,5.112575531005859,-0.002567310704034753,17.027315428853036,0.0002,562.2411368500001,580
245760,54,60,4479,-0.3291494701988995,0.016959393,0.114599609375,0.9416057765483856,0.2,981.28,5.4079413414001465,0.0007510699826525525,17.997084502875804,0.0002,570.09978165,590
249856,54,61,4553,-0.43581613022834065,0.015972912,0.11533203125,0.9167870730161667,0.2,983.08,5.3240742683410645,-0.0011016607895726338,28.160068380832673,0.0002,583.7395237799999,600
253952,54,62,4625,-0.5749856571666896,0.011451392,0.089404296875,0.9723186045885086,0.2,983.71,3.880997657775879,-0.0029924515838501975,18.249079138040543,0.0002,582.66887596,610
258048,54,63,4696,-0.5525393704883754,0.023054222,0.118603515625,0.9647763222455978,0.2,983.71,2.8507401943206787,-0.00196821874123998,15.495939615368844,0.0002,572.66331559,620
262144,54,64,4766,-0.6440063167363406,0.023112955,0.1488525390625,0.9753207564353943,0.2,983.8,3.2225029468536377,0.0003578967211069539,17.518534421920776,0.0002,563.7401333599998,630
266240,55,65,4837,-0.6323956963606179,0.0110188555,0.0963134765625,0.9706410877406597,0.2,984.65,3.417140007019043,0.0011507927207276224,19.252970999479295,0.0002,564.7810358499999,640
270336,55,66,4909,-0.598752217926085,0.020118749,0.14892578125,0.9700438622385263,0.2,986.59,3.6052286624908447,0.0009493087112787179,23.040756610035896,0.0002,555.59506069,650
274432,55,67,4980,-0.6203830569982529,0.020082332,0.1414794921875,0.9784042034298182,0.2,984.38,3.1874985694885254,0.0014960860571591184,14.507381407916546,0.0002,564.4931585100001,660
278528,55,68,5056,-0.4104791827499866,0.016719922,0.0770751953125,0.9482417479157448,0.2,980.65,30.860807418823242,0.0035100855340715496,35.98765022158623,0.0002,569.88411399,670
282624,55,69,5130,-0.4800022626295686,0.01484101,0.1114990234375,0.9783884044736624,0.2,979.8,3.7560482025146484,0.0035712411015992986,16.847758784890175,0.0002,557.43796915,680
286720,55,70,5203,-0.6585185810923576,0.022908174,0.17646484375,0.9827665947377682,0.2,984.22,1.4945706129074097,-0.0034828213712899013,10.943161980807782,0.0002,554.67433459,690
290816,55,71,5276,-0.519313395395875,0.04442824,0.1404296875,0.9411444924771786,0.2,987.8,3.5271644592285156,-0.0008548904123017564,25.355594369769097,0.0002,552.92511351,700
294912,55,72,5349,-0.6001032467931509,0.020936778,0.153369140625,0.9485585018992424,0.2,987.8,10.74579906463623,0.00429819174023578,26.48145609200001,0.0002,565.51993392,710
299008,55,73,5418,-0.49478054996579884,0.021334197,0.1424560546875,0.9653219059109688,0.2,985.4,2.617603063583374,0.004094553079630714,17.54246891140938,0.0002,594.55586057,720
303104,55,74,5490,-0.5907180310226977,0.01130582,0.1291748046875,0.9708416890352964,0.2,985.4,4.275949954986572,0.0027374691475415603,18.831664521992206,0.0002,606.74938572,730
307200,55,75,5559,-0.7052451029419899,0.015635116,0.1140380859375,0.9777709692716599,0.2,985.4,5.4420084953308105,-0.0016858498216606676,14.36465283036232,0.0002,608.3798096900001,740
311296,55,76,5633,-0.7425206078216433,0.0132122,0.1283203125,0.9798148479312658,0.2,982.58,3.30444073677063,0.0015695733702159487,17.842058143019678,0.0002,613.5807404499999,750
315392,55,77,5707,-0.6833459759131074,0.117581025,0.1796875,0.9680840633809566,0.2,978.61,7.201842308044434,-0.008707140093611088,18.626576361060142,0.0002,628.7145944399999,760
319488,55,78,5779,-0.6541889792308211,0.032478664,0.1425048828125,0.9782738368958235,0.2,978.61,3.4446113109588623,-0.002984383248258382,16.48436017408967,0.0002,628.58130351,770
323584,55,79,5854,-0.6569363138638437,0.018321022,0.1454345703125,0.978669784963131,0.2,981.58,2.5102086067199707,0.0009484017587965355,16.960640129446983,0.0002,630.87643623,780
327680,55,80,5929,-0.6611708170734346,0.021612942,0.1262939453125,0.9836345221847296,0.2,981.58,3.4728212356567383,-0.0023166087616118603,12.784076291322709,0.0002,639.3025143,790
331776,55,81,6003,-0.5351563108153641,0.026383068,0.1224853515625,0.9697797521948814,0.2,981.58,4.54669189453125,0.0002902245323639363,18.785646046698094,0.0002,640.86974203,800
335872,55,82,6075,-0.7460637431591749,0.04003048,0.1717041015625,0.9672752991318703,0.2,981.58,3.6184871196746826,0.004185545508516952,17.755909803509713,0.0002,631.23667034,810
339968,55,83,6150,-0.8854311455041171,0.041871008,0.1755126953125,0.9844229267910123,0.2,981.58,3.0258359909057617,-0.002214799280045554,9.016734816133976,0.0002,616.8310267799999,820
344064,55,84,6224,-1.0031526632606984,0.028753854,0.220361328125,0.9789352528750896,0.2,981.58,0.8841142058372498,-0.00473624235164607,5.274069729819894,0.0002,600.58198489,830
348160,55,85,6300,-0.8382510596886277,0.018300883,0.1784423828125,0.9839671794325113,0.2,981.58,1.5408838987350464,-0.00017907031287904828,8.64458128400147,0.0002,584.33307579,840
