time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/clip_range,train/value_loss,rollout/ep_rew_mean,train/explained_variance,train/loss,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,train/clip_fraction,train/n_updates,train/approx_kl,train/entropy_loss,train/std
10,50,1,512,,,,,,,,,,,,,
19,52,2,1024,0.2,4.990249170362949,-46.768061,-0.0012985467910766602,0.4470300078392029,0.001,-0.0011835812008939683,1000.0,0.1294921875,10,0.027313584,-4.2642564415931705,1.0036497116088867
28,54,3,1536,0.2,1.0804176449775695,-46.768061,0.015406906604766846,0.3850076496601105,0.001,-0.008185059996321797,1000.0,0.09609375,20,0.009097486,-4.265103173255921,1.0000643730163574
37,55,4,2048,0.2,0.9816113471984863,-52.975867,0.06293177604675293,0.33014509081840515,0.001,-0.0008609901880845428,1000.0,0.0744140625,30,0.009686566,-4.246366548538208,0.9921888113021851
45,55,5,2560,0.2,0.546451973170042,-52.975867,0.101498544216156,0.10223201662302017,0.001,-0.006376498774625361,1000.0,0.165234375,40,0.02181749,-4.22964426279068,0.9929601550102234
54,56,6,3072,0.2,0.8540851935744286,-48.51634966666666,0.0008633136749267578,0.36442238092422485,0.001,-0.0035434171091765164,1000.0,0.11171875,50,0.007913649,-4.233530104160309,0.9909495115280151
63,56,7,3584,0.2,0.6387400805950165,-48.51634966666666,0.040693819522857666,0.22316911816596985,0.001,-0.0077958354260772465,1000.0,0.1861328125,60,0.016167376,-4.231040048599243,0.9940387606620789
72,56,8,4096,0.2,1.063794779777527,-44.778870749999996,-0.022658467292785645,0.47968968749046326,0.001,-0.005613960255868733,1000.0,0.1107421875,70,0.007009147,-4.231430029869079,0.9886417388916016
81,56,9,4608,0.2,0.8115584403276443,-44.778870749999996,0.0855451226234436,0.34737247228622437,0.001,-0.009644309640862048,1000.0,0.19140625,80,0.019297395,-4.206871020793915,0.9780758619308472
91,55,10,5120,0.2,0.5765417203307152,-43.882797999999994,-0.15421640872955322,0.22558103501796722,0.001,-0.004718729690648615,1000.0,0.15078125,90,0.00851821,-4.183863842487336,0.9775215983390808
