rollout/ep_rew_mean,train/learning_rate,train/n_updates,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,train/loss,rollout/exploration_rate
-226.36987150000004,0.0001,61,346,502,4,86.5,0,1.9806673526763916,0.9934259999999997
-156.404559,0.0001,128,615,563,8,76.875,1,1.026043176651001,0.9883150000000005
-178.18236641666667,0.0001,206,927,600,12,77.25,1,4.398075103759766,0.9823869999999998
-218.694232875,0.0001,297,1290,622,16,80.625,2,2.0988855361938477,0.9754899999999997
-208.82581450000004,0.0001,400,1702,637,20,85.1,2,3.7991881370544434,0.9676620000000004
-197.06509441666665,0.0001,488,2053,643,24,85.54166666666667,3,3.66815447807312,0.9609929999999995
-207.45971949999998,0.0001,594,2480,649,28,88.57142857142857,3,4.128540515899658,0.9528800000000004
-191.6131389375,0.0001,689,2859,652,32,89.34375,4,0.836346447467804,0.945679
-182.7258681666667,0.0001,796,3288,655,36,91.33333333333333,5,0.9365744590759277,0.9375279999999998
-189.1568549,0.0001,885,3644,657,40,91.1,5,1.914902925491333,0.9307640000000004
-188.9336866818182,0.0001,971,3987,655,44,90.61363636363636,6,4.740592956542969,0.9242469999999996
-186.6080933541667,0.0001,1065,4363,655,48,90.89583333333333,6,0.6369394063949585,0.9171029999999999
-184.710469,0.0001,1159,4740,656,52,91.15384615384616,7,0.9776726961135864,0.9099399999999995
-184.24484064285713,0.0001,1254,5117,656,56,91.375,7,0.7633839845657349,0.9027770000000004
-181.82205938333334,0.0001,1341,5466,656,60,91.1,8,1.2408056259155273,0.8961459999999996
-182.505944875,0.0001,1453,5913,655,64,92.390625,9,4.352143287658691,0.887653
-178.39970975,0.0001,1552,6311,656,68,92.80882352941177,9,1.0544898509979248,0.8800909999999998
-181.55848020833335,0.0001,1673,6795,654,72,94.375,10,5.558856964111328,0.8708950000000001
-181.1732530394737,0.0001,1770,7182,654,76,94.5,10,1.1499888896942139,0.8635419999999996
-182.55164342499998,0.0001,1913,7755,656,80,96.9375,11,3.434584140777588,0.8526549999999998
