rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/value_loss
20.969072164948454,2048,413,1,20.969072164948454,4,,,,,,,,,,
26.16,4096,379,2,26.16,10,0.0003,0.1361328125,10,-0.6850274745374918,8.342419624328613,0.2,-0.021831538042169994,0.00019210577011108398,0.009540876,50.01480675637722
34.88,6144,377,3,34.88,16,0.0003,0.077734375,20,-0.6662919159978629,9.985108375549316,0.2,-0.020870229654246942,0.10312998294830322,0.0109611,35.83731127381325
43.99,8192,375,4,43.99,21,0.0003,0.0888671875,30,-0.6343517538160086,24.757801055908203,0.2,-0.017783191698254087,0.21553254127502441,0.008727143,49.3822744011879
60.63,10240,371,5,60.63,27,0.0003,0.075390625,40,-0.6112500555813313,27.889772415161133,0.2,-0.01741180382668972,0.2846677899360657,0.0068202782,57.662454187870026
76.69,12288,368,6,76.69,33,0.0003,0.087939453125,50,-0.5998216094449162,9.632086753845215,0.2,-0.014135797668132,0.5689437985420227,0.010387542,52.95913534760475
96.34,14336,367,7,96.34,38,0.0003,0.029541015625,60,-0.5980475291609764,10.9008150100708,0.2,-0.0033542956050951036,0.6068046391010284,0.004233998,50.02983294725418
114.16,16384,352,8,114.16,46,0.0003,0.029931640625,70,-0.5804851990193128,34.19049072265625,0.2,-0.007124880996707361,0.5848875343799591,0.0061493968,58.65738790929318
131.67,18432,340,9,131.67,54,0.0003,0.0826171875,80,-0.5721723172813654,17.47916603088379,0.2,-0.009461852078675292,0.7509648948907852,0.0074092536,42.8216036722064
148.8,20480,331,10,148.8,61,0.0003,0.111328125,90,-0.5863989116623998,2.636350154876709,0.2,-0.012009184833732433,0.6332469284534454,0.010946447,24.240797404944896
