time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/std,train/entropy_loss,train/clip_fraction,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/clip_range
338,-105.89423066666666,6,1,2048,589.0,,,,,,,,,,,
272,-108.67456657142854,15,2,4096,506.2857142857143,10,0.024857282638549805,-0.009819237916963175,1.0065934658050537,-5.696063533425331,0.065478515625,104.36427307128906,0.0003,76.33590970523656,0.008302467,0.2
248,-121.80600711111111,24,3,6144,551.4444444444445,20,0.1801520586013794,-0.006562962848693133,1.009689211845398,-5.709840466082096,0.064208984375,75.15192413330078,0.0003,106.79884974211454,0.009973059,0.2
238,-116.66327842857142,34,4,8192,503.57142857142856,30,0.30171042680740356,-0.007724467538355384,1.0097426176071167,-5.71253198236227,0.0591796875,0.6632471084594727,0.0003,66.26042016968131,0.008061914,0.2
233,-115.49467473333333,43,5,10240,576.6666666666666,40,0.36871838569641113,-0.007103023095987737,1.0049636363983154,-5.702742077410221,0.04658203125,52.887786865234375,0.0003,106.39769444540143,0.0077033387,0.2
225,-114.21403844444444,54,6,12288,662.6666666666666,50,0.4482576251029968,-0.010929765191394835,0.9827128648757935,-5.635431626439095,0.147314453125,0.08287028968334198,0.0003,0.3001851388020441,0.013220145,0.2
221,-114.89861789473683,64,7,14336,712.0,60,0.6363044381141663,-0.008323094999650494,0.9798403978347778,-5.600106373429298,0.059814453125,0.5272476077079773,0.0003,24.95438564615324,0.006629954,0.2
217,-113.73151173913043,75,8,16384,666.8695652173913,70,0.9505411870777607,-0.014028154584229924,0.9658530950546265,-5.56002151966095,0.117822265625,0.1170673593878746,0.0003,0.47915395251475273,0.008583022,0.2
215,-114.01797124000001,85,9,18432,679.92,80,0.38195711374282837,-0.004773077633581124,0.9678097367286682,-5.539176858961582,0.027978515625,40.442562103271484,0.0003,63.808484425768256,0.005762842,0.2
213,-113.85816303448276,95,10,20480,702.5862068965517,90,0.16515779495239258,-0.005573382644797675,0.9660767316818237,-5.538142138719559,0.042236328125,0.12203940004110336,0.0003,24.042998927505685,0.008362079,0.2
