rollout/exploration_rate,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/learning_rate,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/n_updates
0.9933879999999997,87.0,4,348,0.0001,0,363,-163.80048275000001,2.4626004695892334,61
0.9873460000000001,83.25,8,666,0.0001,1,376,-152.102890875,3.074549674987793,141
0.9820829999999995,78.58333333333333,12,943,0.0001,2,392,-149.30939525000002,2.39554500579834,210
0.9759080000000002,79.25,16,1268,0.0001,3,405,-168.8309025,1.7373473644256592,291
0.9688780000000006,81.9,20,1638,0.0001,3,410,-156.21994115,2.4873926639556885,384
0.9611069999999996,85.29166666666667,24,2047,0.0001,4,414,-144.07299475,2.899266242980957,486
0.9548180000000002,84.92857142857143,28,2378,0.0001,5,418,-150.22359725,1.8975772857666016,569
0.947256,86.75,32,2776,0.0001,6,422,-155.29529965625,2.4776291847229004,668
0.9390669999999998,89.08333333333333,36,3207,0.0001,7,421,-166.32206430555556,1.855627417564392,776
0.9310299999999996,90.75,40,3630,0.0001,8,422,-166.479780725,1.7320220470428467,882
0.9220240000000001,93.27272727272727,44,4104,0.0001,9,422,-170.86177172727272,1.8197500705718994,1000
0.9138349999999997,94.47916666666667,48,4535,0.0001,10,423,-164.60057666666668,1.946181058883667,1108
0.9057599999999997,95.38461538461539,52,4960,0.0001,11,424,-162.66041007692309,2.628206968307495,1214
0.8984639999999997,95.42857142857143,56,5344,0.0001,12,423,-163.5009354464286,1.8012514114379883,1310
0.8887360000000005,97.6,60,5856,0.0001,13,423,-169.5519184,2.020763874053955,1438
0.8825039999999996,96.625,64,6184,0.0001,14,423,-169.211123109375,0.9497992396354675,1520
0.8750180000000005,96.73529411764706,68,6578,0.0001,15,421,-173.70711066176472,2.12632417678833,1619
0.8667719999999997,97.38888888888889,72,7012,0.0001,16,422,-171.20056258333332,1.9933048486709595,1727
0.8607870000000005,96.40789473684211,76,7327,0.0001,17,421,-167.4217134078947,2.0630040168762207,1806
0.8535100000000001,96.375,80,7710,0.0001,18,421,-165.9075032125,1.8845458030700684,1902
0.8447510000000004,97.27380952380952,84,8171,0.0001,19,420,-164.10078092857142,2.0134243965148926,2017
0.8362199999999997,97.95454545454545,88,8620,0.0001,20,418,-163.65081967045455,0.9626509547233582,2129
0.8276510000000001,98.59782608695652,92,9071,0.0001,21,417,-162.4430546195652,2.115216016769409,2242
0.8184170000000004,99.55208333333333,96,9557,0.0001,22,416,-162.77228269791667,1.9358826875686646,2364
0.8098670000000002,100.07,100,10007,0.0001,24,415,-161.66392065000002,1.7297890186309814,2476
0.8017729999999995,100.85,104,10433,0.0001,25,414,-159.99048980999999,2.207249641418457,2583
0.79214,102.74,108,10940,0.0001,26,412,-162.07536572,2.1201233863830566,2709
0.7815570000000004,105.54,112,11497,0.0001,27,411,-163.00712285,2.2312779426574707,2849
0.7726080000000004,107.0,116,11968,0.0001,29,410,-160.29683895,1.9912793636322021,2966
0.7644570000000002,107.59,120,12397,0.0001,30,410,-163.98269800999998,2.5256879329681396,3074
0.7570470000000001,107.4,124,12787,0.0001,31,409,-166.08694332,1.4954776763916016,3171
0.7460080000000002,109.9,128,13368,0.0001,32,408,-165.26497977,1.0715348720550537,3316
0.7379140000000006,110.18,132,13794,0.0001,33,407,-160.92291910999998,1.9733918905258179,3423
0.7286610000000002,110.74,136,14281,0.0001,35,406,-158.21026514999997,1.592587947845459,3545
0.7202439999999997,110.94,140,14724,0.0001,36,405,-155.71780948999998,2.120509386062622,3655
0.7104020000000004,111.38,144,15242,0.0001,37,403,-150.71123307,1.7633694410324097,3785
0.7008829999999999,112.08,148,15743,0.0001,39,402,-153.94085384000002,1.5062662363052368,3910
0.692561,112.21,152,16181,0.0001,40,402,-156.53092655999998,1.3044568300247192,4020
0.6822819999999998,113.78,156,16722,0.0001,41,401,-152.79298950000003,2.2859139442443848,4155
0.6728770000000004,113.61,160,17217,0.0001,42,400,-145.70457759,2.0433154106140137,4279
0.6633390000000003,115.35,164,17719,0.0001,44,399,-144.10269255,1.3043107986450195,4404
0.6547510000000002,115.93,168,18171,0.0001,45,399,-139.53399942,1.6034107208251953,4517
0.6439400000000004,117.28,172,18740,0.0001,47,398,-138.77555422999998,2.149592876434326,4659
0.6332809999999998,119.74,176,19301,0.0001,48,397,-139.24268447,2.0146262645721436,4800
0.6226029999999997,121.53,180,19863,0.0001,50,395,-137.44649349000002,1.7810592651367188,4940
0.6124000000000005,122.29,184,20400,0.0001,51,394,-134.16033082,1.7885535955429077,5074
0.6027480000000003,122.88,188,20908,0.0001,53,393,-131.37570013,1.6822012662887573,5201
0.5932860000000004,123.35,192,21406,0.0001,54,392,-130.52118697,1.7592639923095703,5326
0.5824749999999996,124.18,196,21975,0.0001,56,391,-126.36132810999997,1.6982524394989014,5468
0.569612,126.45,200,22652,0.0001,57,391,-126.20705055,1.2880618572235107,5637
0.5585920000000004,127.99,204,23232,0.0001,59,389,-125.71303991999999,1.3830738067626953,5782
0.5447029999999998,130.23,208,23963,0.0001,61,387,-120.7188372,1.821803331375122,5965
0.5297309999999996,132.54,212,24751,0.0001,64,385,-117.25006241000001,1.344939112663269,6162
0.5018390000000001,142.51,216,26219,0.0001,69,377,-111.74569538000002,1.133629560470581,6529
0.49133199999999977,143.75,220,26772,0.0001,71,375,-108.70984542999999,1.487555742263794,6667
0.4763790000000001,147.72,224,27559,0.0001,73,374,-104.82253958000001,0.9238783121109009,6864
0.4639530000000003,148.45,228,28213,0.0001,75,373,-102.47491172,1.4332141876220703,7028
0.44654899999999975,153.35,232,29129,0.0001,78,371,-102.52393255000001,1.4290891885757446,7257
0.4315960000000001,156.35,236,29916,0.0001,80,369,-96.74777411999999,1.2937710285186768,7453
0.3947929999999996,171.29,240,31853,0.0001,87,362,-94.35334926,0.9854600429534912,7938
0.3594719999999997,184.7,244,33712,0.0001,94,357,-91.83211134000001,0.9069298505783081,8402
0.31333999999999995,203.97,248,36140,0.0001,104,346,-88.00159827999998,0.9286679029464722,9009
0.2815530000000004,216.32,252,37813,0.0001,110,341,-79.37009375,1.1979403495788574,9428
0.21949900000000044,243.57,256,41079,0.0001,124,329,-82.43685160999999,1.031082034111023,10244
0.1459689999999998,277.32,260,44949,0.0001,142,316,-78.10264033000003,1.4362781047821045,11212
0.06996899999999973,312.3,264,48949,0.0001,161,302,-78.47405746000003,0.91536945104599,12212
0.05,347.78,268,52949,0.0001,180,293,-77.10607422000001,1.2149455547332764,13212
0.05,382.09,272,56949,0.0001,199,285,-77.07796831,1.6095737218856812,14212
0.05,416.48,276,60949,0.0001,217,280,-77.67928131000002,1.3906333446502686,15212
0.05,450.86,280,64949,0.0001,237,273,-78.02574952,0.8134251832962036,16212
0.05,485.49,284,68949,0.0001,255,269,-79.90829754,0.7459646463394165,17212
0.05,520.41,288,72949,0.0001,276,264,-80.65114301,1.1095664501190186,18212
0.05,555.43,292,76949,0.0001,295,260,-80.73232749,1.1859886646270752,19212
0.05,589.74,296,80949,0.0001,315,256,-83.04586891000001,1.2470684051513672,20212
0.05,622.97,300,84949,0.0001,334,253,-82.70626165000002,1.1815849542617798,21212
0.05,657.17,304,88949,0.0001,353,251,-82.37145971,1.1587002277374268,22212
0.05,689.86,308,92949,0.0001,372,249,-83.38438608,0.953543484210968,23212
0.05,721.98,312,96949,0.0001,391,247,-84.91931705,0.7220422625541687,24212
0.05,747.3,316,100949,0.0001,411,245,-89.31385156,0.6965523362159729,25212
0.05,781.77,320,104949,0.0001,430,243,-89.0866234,1.3821077346801758,26212
0.05,813.9,324,108949,0.0001,450,241,-91.93263058000001,0.5716493725776672,27212
0.05,847.36,328,112949,0.0001,468,241,-91.53056278,0.8666739463806152,28212
0.05,878.2,332,116949,0.0001,487,239,-92.26749813,0.6455116271972656,29212
0.05,910.33,336,120949,0.0001,506,238,-94.33482987,0.5277097225189209,30212
0.05,930.96,340,124949,0.0001,525,237,-97.16937449,0.7085055708885193,31212
0.05,952.37,344,128949,0.0001,545,236,-100.25928877,0.9241185188293457,32212
0.05,968.09,348,132949,0.0001,564,235,-101.70977128999999,0.6791819334030151,33212
0.05,991.36,352,136949,0.0001,584,234,-106.6475478,0.3837449550628662,34212
0.05,998.33,356,140912,0.0001,603,233,-106.18554877999999,0.3865731656551361,35202
0.05,999.63,360,144912,0.0001,621,233,-111.3672919,0.45449018478393555,36202
0.05,999.63,364,148912,0.0001,639,232,-110.34834772999997,0.4874029755592346,37202
0.05,999.63,368,152912,0.0001,659,231,-110.43945835999999,0.8527731895446777,38202
0.05,999.63,372,156912,0.0001,679,231,-110.26462374,0.4442211985588074,39202
0.05,999.63,376,160912,0.0001,699,230,-109.82010064999999,0.47617512941360474,40202
0.05,999.32,380,164881,0.0001,717,229,-110.95339422,0.40387874841690063,41195
0.05,999.32,384,168881,0.0001,736,229,-111.40568035,0.9781357645988464,42195
0.05,999.32,388,172881,0.0001,756,228,-110.52610254000001,0.3965248465538025,43195
0.05,993.36,392,176285,0.0001,770,228,-109.84721928999997,0.35681939125061035,44046
0.05,992.1,396,180159,0.0001,787,228,-109.03457097,0.847172737121582,45014
0.05,978.71,400,182820,0.0001,798,228,-107.94060961,0.7193297147750854,45679
0.05,978.52,404,186801,0.0001,813,229,-109.13765421999999,0.5683273077011108,46675
0.05,969.66,408,189915,0.0001,824,230,-110.44513217,0.33233895897865295,47453
0.05,954.81,412,192430,0.0001,834,230,-109.32874201999999,0.7204411625862122,48082
0.05,954.81,416,196430,0.0001,850,231,-106.81569203000001,0.37702322006225586,49082
0.05,954.81,420,200430,0.0001,864,231,-104.10401072999997,0.5002627968788147,50082
0.05,954.81,424,204430,0.0001,880,232,-103.59265583,1.0060474872589111,51082
0.05,946.74,428,207623,0.0001,892,232,-102.72739897999998,0.5529781579971313,51880
0.05,930.72,432,210021,0.0001,900,233,-102.44746218999997,0.5467044115066528,52480
0.05,914.71,436,212420,0.0001,908,233,-101.95527327000002,0.8395810127258301,53079
0.05,906.17,440,215566,0.0001,919,234,-100.50189096999999,0.40923401713371277,53866
0.05,889.34,444,217883,0.0001,925,235,-100.24538045,0.6489049792289734,54445
0.05,881.29,448,221078,0.0001,935,236,-98.14614882999999,0.45981448888778687,55244
0.05,880.63,452,225012,0.0001,948,237,-93.72920905,0.454623281955719,56227
0.05,864.83,456,227395,0.0001,955,237,-90.37229405,0.49365219473838806,56823
0.05,856.5,460,230562,0.0001,965,238,-89.29857626,0.39037060737609863,57615
0.05,856.5,464,234562,0.0001,978,239,-87.54502360000001,1.1070020198822021,58615
0.05,845.06,468,237418,0.0001,987,240,-86.44803543,0.3887271285057068,59329
0.05,833.68,472,240280,0.0001,995,241,-80.94610599999999,0.5821890234947205,60044
0.05,825.44,476,243456,0.0001,1005,242,-79.9298593,0.4283764660358429,60838
0.05,818.12,480,246693,0.0001,1016,242,-76.47313905,0.33448272943496704,61648
0.05,797.28,484,248609,0.0001,1021,243,-75.68792673,0.30837035179138184,62127
0.05,789.04,488,251785,0.0001,1032,243,-75.33636735,0.35362008213996887,62921
0.05,788.33,492,255118,0.0001,1042,244,-70.24305618,1.2004218101501465,63754
0.05,781.15,496,258274,0.0001,1052,245,-68.18531469999999,0.3549180030822754,64543
0.05,786.33,500,261453,0.0001,1061,246,-67.03575400000001,0.5136674642562866,65338
0.05,773.06,504,264107,0.0001,1069,247,-61.35937465999999,0.5262670516967773,66001
0.05,766.04,508,266519,0.0001,1076,247,-56.68679263,0.6191666126251221,66604
0.05,765.81,512,269011,0.0001,1083,248,-55.1646165,0.36524978280067444,67227
0.05,751.52,516,271582,0.0001,1090,248,-52.29973376000001,0.3275837004184723,67870
0.05,735.79,520,274009,0.0001,1097,249,-53.209085110000004,0.5617297887802124,68477
0.05,730.69,524,277499,0.0001,1108,250,-46.598659319999996,0.46037551760673523,69349
0.05,735.34,528,281157,0.0001,1120,250,-45.86562016,0.8970301151275635,70264
0.05,742.83,532,284304,0.0001,1130,251,-44.63668854999999,0.3470587134361267,71050
0.05,747.62,536,287182,0.0001,1138,252,-39.8411344,0.3877616822719574,71770
0.05,732.69,540,288835,0.0001,1142,252,-31.3445939,0.30349671840667725,72183
0.05,727.02,544,290585,0.0001,1147,253,-21.7534897,0.2762838304042816,72621
0.05,715.09,548,292587,0.0001,1152,253,-16.90994136,0.3030050992965698,73121
0.05,692.79,552,294291,0.0001,1157,254,-16.62574553,0.40564143657684326,73547
0.05,705.05,556,297900,0.0001,1169,254,-13.21218287,0.2722163498401642,74449
0.05,704.59,560,301021,0.0001,1179,255,-6.883667770000003,0.36888188123703003,75230
0.05,690.13,564,303575,0.0001,1187,255,-6.9056545400000005,0.5010821223258972,75868
0.05,695.64,568,306982,0.0001,1196,256,-2.84535943,0.3238755762577057,76720
0.05,691.54,572,309434,0.0001,1204,256,-4.75766381,0.366417795419693,77333
0.05,692.39,576,312695,0.0001,1213,257,-3.2713719700000006,0.3838404417037964,78148
0.05,679.01,580,314594,0.0001,1218,258,-1.5930188599999997,0.4982106685638428,78623
0.05,694.82,584,318091,0.0001,1229,258,3.3488690800000005,0.32291680574417114,79497
0.05,696.37,588,321422,0.0001,1240,259,7.404275869999999,0.23041465878486633,80330
0.05,693.85,592,324503,0.0001,1250,259,10.086991789999999,0.46091657876968384,81100
0.05,695.92,596,327866,0.0001,1260,260,13.31344936,0.2515047788619995,81941
0.05,695.15,600,330968,0.0001,1269,260,15.879189680000003,0.7551189064979553,82716
0.05,686.92,604,332799,0.0001,1273,261,16.15186723,0.304212749004364,83174
0.05,700.08,608,336527,0.0001,1285,261,16.50353313,0.30384576320648193,84106
0.05,715.16,612,340527,0.0001,1297,262,17.13173994,0.5225995182991028,85106
0.05,722.7,616,343852,0.0001,1308,262,18.71648612,0.2514660358428955,85937
0.05,729.56,620,346965,0.0001,1318,263,23.152185740000004,0.23996077477931976,86716
0.05,726.9,624,350189,0.0001,1328,263,23.80288261,0.2935802936553955,87522
0.05,718.71,628,353028,0.0001,1336,264,27.201073849999993,0.49524328112602234,88231
0.05,724.1,632,356714,0.0001,1349,264,31.24196369999999,1.299800992012024,89153
0.05,727.14,636,359896,0.0001,1359,264,27.181649389999997,0.5278652906417847,89948
0.05,748.14,640,363649,0.0001,1371,265,23.0982951,0.5802364349365234,90887
0.05,762.17,644,366802,0.0001,1380,265,15.50602799,0.9721859693527222,91675
0.05,782.15,648,370802,0.0001,1395,265,12.28094451,0.6559607982635498,92675
0.05,788.11,652,373102,0.0001,1401,266,15.893700619999999,0.223627507686615,93250
0.05,785.81,656,376481,0.0001,1412,266,16.35102541,0.2661648392677307,94095
0.05,787.72,660,379793,0.0001,1421,267,11.823807609999996,0.3160936236381531,94923
0.05,797.76,664,383351,0.0001,1432,267,16.20746049,0.3248298168182373,95812
0.05,797.05,668,386687,0.0001,1443,267,16.366326309999998,0.3573527932167053,96646
0.05,804.53,672,389887,0.0001,1454,268,15.545716869999994,0.2548518478870392,97446
0.05,811.92,676,393887,0.0001,1467,268,16.70508155,0.2500542998313904,98446
0.05,832.93,680,397887,0.0001,1481,268,15.406879850000001,0.45645180344581604,99446
0.05,823.27,684,400418,0.0001,1490,268,12.406326889999997,0.17238876223564148,100079
0.05,829.96,688,404418,0.0001,1503,269,10.192312479999996,0.5099944472312927,101079
0.05,833.18,692,407821,0.0001,1515,269,7.785851740000001,0.367328017950058,101930
0.05,833.42,696,411208,0.0001,1526,269,8.971634149999998,0.507750391960144,102776
0.05,842.4,700,415208,0.0001,1538,269,8.170319879999996,0.6411512494087219,103776
0.05,864.09,704,419208,0.0001,1553,269,6.405355329999997,0.22863022983074188,104776
0.05,860.49,708,422576,0.0001,1564,270,8.170924419999999,0.4077340364456177,105618
0.05,860.49,712,426576,0.0001,1576,270,8.999257399999998,0.7660536766052246,106618
0.05,867.24,716,430576,0.0001,1590,270,6.254666469999998,0.4250335693359375,107618
0.05,876.11,720,434576,0.0001,1605,270,3.6335896499999984,0.4081072211265564,108618
0.05,883.87,724,438576,0.0001,1619,270,-0.20068013000000043,0.24792110919952393,109618
0.05,882.92,728,441320,0.0001,1627,271,3.488196609999999,0.48137539625167847,110304
0.05,886.06,732,445320,0.0001,1640,271,0.07209839999999794,0.22828778624534607,111304
0.05,894.24,736,449320,0.0001,1654,271,1.5026219899999986,0.2151697874069214,112304
0.05,896.71,740,453320,0.0001,1667,271,-0.5840971000000011,0.28168949484825134,113304
0.05,898.22,744,456624,0.0001,1679,271,2.450739369999998,0.21252179145812988,114130
0.05,898.22,748,460624,0.0001,1693,271,1.9192957599999994,0.23593415319919586,115130
0.05,915.22,752,464624,0.0001,1706,272,-3.1182200800000004,0.5800687074661255,116130
0.05,921.43,756,468624,0.0001,1720,272,-5.3775154999999994,0.2848418056964874,117130
0.05,922.24,760,472017,0.0001,1728,273,-2.295524940000001,0.4533768594264984,117979
0.05,926.66,764,476017,0.0001,1740,273,-6.19449534,0.5297471284866333,118979
0.05,933.3,768,480017,0.0001,1752,273,-8.00502791,0.4376474618911743,119979
0.05,934.77,772,483364,0.0001,1762,274,-5.8227503600000015,0.38505297899246216,120815
