rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/value_loss
21.39,1,5,16384,3253,21.39,,,,,,,,,,
37.94,2,25,32768,1269,37.94,0.0003,10,-0.029178497133216297,0.280859375,2.898338556289673,0.2,0.015803982,0.00043195486068725586,-0.6797520826105028,12.585866874735803
84.07,3,48,49152,1003,84.07,0.0003,20,-0.03472123748688318,0.218896484375,14.1948823928833,0.2,0.018470831,0.3692852854728699,-0.6383475983282552,28.380887610465287
159.99,4,71,65536,911,159.99,0.0003,30,-0.02598036040162697,0.164715576171875,16.573760986328125,0.2,0.012580936,0.39393848180770874,-0.5919837078312412,40.76042735278607
228.53,5,94,81920,868,228.53,0.0003,40,-0.01814883649931289,0.1535888671875,21.04450035095215,0.2,0.011589629,0.5518322587013245,-0.5532079811673611,32.83096165023744
315.24,6,117,98304,839,315.24,0.0003,50,-0.013904828707927664,0.1502685546875,1.9514206647872925,0.2,0.0133043155,0.7566597163677216,-0.5277264561736956,18.690083592245355
382.85,7,138,114688,825,382.85,0.0003,60,-0.010706309444685758,0.1142822265625,7.203862190246582,0.2,0.010576418,0.8987604901194572,-0.515473211184144,7.24748330618022
461.98,8,160,131072,817,461.98,0.0003,70,-0.009879171308057266,0.101385498046875,0.3022784888744354,0.2,0.007603093,0.9264134243130684,-0.4909106020932086,2.186983338219579
495.48,9,181,147456,814,495.48,0.0003,80,-0.005515420453048136,0.083514404296875,0.48701679706573486,0.2,0.0059746387,0.9345549270510674,-0.4675774886622094,1.3104445833785576
499.58,10,200,163840,817,499.58,0.0003,90,-0.0014655770227363974,0.027679443359375,0.022931914776563644,0.2,0.0028055303,0.3637186288833618,-0.4402938521350734,0.9322006825561402
500.0,11,220,180224,818,500.0,0.0003,100,-0.0012341611825831933,0.0299072265625,0.06812325119972229,0.2,0.0026866132,0.14422118663787842,-0.433361939759925,0.6704358762137417
500.0,12,238,196608,824,500.0,0.0003,110,-0.0011473505337562528,0.028131103515625,0.07184267789125443,0.2,0.0032552397,0.03638815879821777,-0.4413158236187883,0.4329872105772665
500.0,13,257,212992,827,500.0,0.0003,120,-0.0010962811780700576,0.025787353515625,0.12918318808078766,0.2,0.002488108,0.013181149959564209,-0.4411147285136394,0.28450068620622915
500.0,14,277,229376,826,500.0,0.0003,130,-0.0008664398374094162,0.021722412109375,0.10709270089864731,0.2,0.0018883606,0.00504612922668457,-0.44029858720023185,0.1855024064605459
500.0,15,298,245760,824,500.0,0.0003,140,-0.00018400727640255354,0.0158203125,0.020820610225200653,0.2,0.002462273,-0.006508946418762207,-0.45268824205268177,0.11780709351824044
500.0,16,316,262144,827,500.0,0.0003,150,-0.0004714096843599691,0.026031494140625,0.014063533395528793,0.2,0.0020097587,-0.0057718753814697266,-0.44941896966192874,0.07764033357143489
500.0,17,332,278528,837,500.0,0.0003,160,-0.00021688377782993484,0.017889404296875,0.029132019728422165,0.2,0.001701439,-0.0006933212280273438,-0.45885404348373415,0.05219431222913044
500.0,18,348,294912,846,500.0,0.0003,170,-0.00038708213978679853,0.023638916015625,0.008068501949310303,0.2,0.0035910783,-0.0011310577392578125,-0.4669904851471074,0.03434828449539964
500.0,19,363,311296,855,500.0,0.0003,180,-0.00140510262499447,0.03707275390625,0.009711921215057373,0.2,0.0045128134,0.00030297040939331055,-0.460712438786868,0.022539564571866323
