rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/approx_kl,train/entropy_loss,train/value_loss,train/learning_rate,train/loss,train/n_updates,train/clip_range,train/std,train/clip_fraction,train/explained_variance,train/policy_gradient_loss
-109.73201056999999,1,26,65536,535.72,2514,,,,,,,,,,,
-110.61552356,2,138,131072,560.55,949,0.003741444,-5.675864627119154,58.371704421949104,0.0003,6.617321014404297,10,0.18,1.0028016567230225,0.04031524658203125,-0.0034134387969970703,-0.0006053554840491415
-111.39686311999999,3,231,196608,558.4,850,0.0043717837,-5.661185271618888,14.867674814080237,0.0003,3.779493808746338,20,0.18,0.9972304701805115,0.05958251953125,0.745322048664093,-0.00031024502234231475
-109.95623451,4,324,262144,588.15,807,0.004336019,-5.640891172224656,19.168080201986594,0.0003,9.468198776245117,30,0.18,0.9940722584724426,0.06764373779296876,0.8738844245672226,-0.0011209740200683882
-110.03649599,5,418,327680,779.59,783,0.0055618123,-5.629306595865637,18.98376225092361,0.0003,38.27237319946289,40,0.18,0.9903420209884644,0.10915069580078125,0.9227788299322128,-0.0010477987486410712
-104.71568752000002,6,515,393216,868.16,762,0.007846976,-5.602447567367927,20.27726350233279,0.0003,8.244403839111328,50,0.18,0.9783602356910706,0.14402008056640625,0.9169962927699089,-0.0006921454322764475
-99.17137392,7,609,458752,896.16,752,0.009465802,-5.5410674742423,17.106154335014434,0.0003,3.5889792442321777,60,0.18,0.960404634475708,0.14176025390625,0.9192287400364876,-0.0005708029663537672
-98.80664463000001,8,702,524288,744.34,745,0.008176455,-5.457653824286536,16.010869293696306,0.0003,0.3569929003715515,70,0.18,0.9377615451812744,0.14420318603515625,0.9132024124264717,-0.001230587075224321
-95.87832614999998,9,796,589824,685.71,740,0.009393485,-5.366042243503034,21.753773164373705,0.0003,13.944950103759766,80,0.18,0.926429033279419,0.14057159423828125,0.9214640110731125,-0.0001869190999059356
-93.13025605000001,10,891,655360,717.15,735,0.007984199,-5.309989636903628,17.25472709495807,0.0003,1.745146632194519,90,0.18,0.9086175560951233,0.1516387939453125,0.9452327415347099,-0.0005456782855844722
-88.27557293999999,11,986,720896,823.5,730,0.008928025,-5.2519082355313005,20.975618957683764,0.0003,11.08907413482666,100,0.18,0.8982473015785217,0.146112060546875,0.9218000248074532,0.00011824118777212789
-83.49426529,12,1080,786432,881.97,727,0.007982508,-5.183111829357221,19.789773159111792,0.0003,6.471123695373535,110,0.18,0.8827016353607178,0.12906951904296876,0.9344874322414398,4.938658028095233e-05
-79.00390979000001,13,1174,851968,946.2,725,0.0071284883,-5.127304522693157,13.167530236177118,0.0003,27.08941078186035,120,0.18,0.866679310798645,0.12363739013671875,0.9165424853563309,-0.001139839499592199
-72.76619774,14,1268,917504,1068.96,723,0.007880789,-5.051488313637674,12.175464065269626,0.0003,35.35041809082031,130,0.18,0.8548535108566284,0.12642974853515626,0.9223049059510231,-0.0005557584754228628
-67.27319604000002,15,1360,983040,1113.11,722,0.007294501,-5.009444630239159,9.266183171447484,0.0003,0.10462071746587753,140,0.18,0.843235969543457,0.116583251953125,0.9023986458778381,-0.0016880565880683207
-62.2090579,16,1453,1048576,1079.67,721,0.008236808,-4.948668321361765,10.77440778263699,0.0003,0.12644627690315247,150,0.18,0.8337576389312744,0.13020172119140624,0.906577430665493,-0.001637819439042687
-53.81192291,17,1549,1114112,1095.38,719,0.008105082,-4.903802014188841,9.287197950370318,0.0003,0.33176276087760925,160,0.18,0.8218580484390259,0.14055023193359376,0.8895111605525017,-0.0023864621570965027
-62.231584999999995,18,1643,1179648,844.17,717,0.009425404,-4.840074188960716,11.82954383202159,0.0003,6.5237860679626465,170,0.18,0.8076900839805603,0.13930206298828124,0.9194812849164009,-0.001831977140250274
-56.12702701,19,1736,1245184,892.6,717,0.009314412,-4.774683055561036,21.551411512320918,0.0003,20.328575134277344,180,0.18,0.7992060780525208,0.142767333984375,0.9128154590725899,-0.00015954222762957216
-59.46997024000001,20,1829,1310720,821.47,716,0.007840316,-4.7357283688150345,20.33357500434213,0.0003,1.4742646217346191,190,0.18,0.7865504622459412,0.1324371337890625,0.8977154642343521,4.5736104038951456e-05
-51.52225583000001,21,1921,1376256,921.26,716,0.010107693,-4.660472371103242,24.95696319293638,0.0003,0.3747175633907318,200,0.18,0.7753710150718689,0.14349365234375,0.9088495522737503,0.0002543872969908989
-46.40931993,22,2015,1441792,864.87,715,0.009017145,-4.605644286889583,20.367422200448345,0.0003,5.4775710105896,210,0.18,0.7687482833862305,0.14092864990234374,0.9013914242386818,0.00037753024398625714
-26.845791800000008,23,2108,1507328,1016.21,714,0.010041433,-4.578192228265107,25.53338093372877,0.0003,0.4348848760128021,220,0.18,0.7589693069458008,0.133795166015625,0.8947620019316673,-0.0010096880980199785
