train/n_updates,train/value_loss,time/time_elapsed,train/std,time/iterations,time/total_timesteps,train/explained_variance,train/entropy_loss,time/fps,train/policy_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
2499,0.01727025769650936,76,0.8182099461555481,2500,20000,-0.44539523124694824,-4.869217395782471,260,-0.5092654228210449,0.00096,321.3114754098361,-108.76435806557377
2599,0.01019259262830019,80,0.8088647127151489,2600,20800,0.1229589581489563,-4.820563316345215,258,0.3654077351093292,0.00096,321.3114754098361,-108.76435806557377
2699,0.0057268631644546986,83,0.8046250343322754,2700,21600,-0.22833740711212158,-4.80289363861084,257,-0.037547290325164795,0.00096,340.7096774193548,-109.76480530645162
2799,0.0331033356487751,87,0.8008095026016235,2800,22400,0.5898126661777496,-4.781580448150635,256,-0.7005202174186707,0.00096,336.8939393939394,-109.67193418181819
2899,0.00701109878718853,91,0.79679936170578,2900,23200,0.8218565285205841,-4.7633490562438965,254,0.16364791989326477,0.00096,330.4347826086956,-109.27853491304349
2999,0.030133869498968124,94,0.7935431003570557,3000,24000,0.8421191275119781,-4.7448039054870605,253,-0.604825496673584,0.00096,315.25,-108.75592822368421
3099,1.1873855590820312,98,0.7904890179634094,3100,24800,-8.188231468200684,-4.731085777282715,252,3.5330934524536133,0.00096,284.5977011494253,-107.97470910344828
3199,0.08101658523082733,101,0.7915899753570557,3200,25600,0.6699526011943817,-4.737521171569824,251,-1.3104932308197021,0.00096,268.8,-107.27364281052631
3299,0.002576675731688738,105,0.793087363243103,3300,26400,0.7879101932048798,-4.744728088378906,250,0.0658319890499115,0.00096,264.01020408163265,-107.03959360204081
3399,0.43830591440200806,109,0.7854080200195312,3400,27200,0.35758352279663086,-4.7032060623168945,249,-1.387497901916504,0.00096,230.35,-106.88317297000002
3499,0.26333150267601013,112,0.7823506593704224,3500,28000,-16.447668075561523,-4.688408851623535,248,-1.036712884902954,0.00096,233.22,-106.48940711000002
3599,0.03144179657101631,116,0.7797327041625977,3600,28800,-8.662531852722168,-4.679579734802246,247,-0.6672987937927246,0.00096,233.22,-106.48940711000002
3699,0.15131279826164246,119,0.7771307229995728,3700,29600,0.4499981999397278,-4.663851737976074,247,-1.6841181516647339,0.00096,248.51,-106.38846979
3799,0.026529211550951004,123,0.7660163640975952,3800,30400,-1.948965072631836,-4.608122825622559,246,0.33645591139793396,0.00096,248.51,-106.38846979
3899,0.5140382051467896,125,0.761554479598999,3900,31200,-6.400619029998779,-4.58261251449585,247,2.6617932319641113,0.00096,257.59,-106.19555917000001
3999,0.12560345232486725,128,0.7606041431427002,4000,32000,-0.13871467113494873,-4.576033115386963,249,1.0654876232147217,0.00096,249.4,-106.06754951000002
4099,0.35072624683380127,130,0.7631903290748596,4100,32800,0.7099951505661011,-4.588666915893555,251,-2.799260139465332,0.00096,239.82,-105.13531626
