train/learning_rate,time/fps,train/loss,rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,train/n_updates
0.0001,476,0.7402944564819336,-91.19804185,280,51759,108,0.05,311.86,12914
0.0001,475,1.7495009899139404,-92.86257613999999,284,52913,111,0.05,316.85,13203
0.0001,467,0.6529803276062012,-80.27409554,288,55391,118,0.05,334.86,13822
0.0001,465,0.9204373359680176,-79.17219154,292,56865,122,0.05,343.86,14191
0.0001,463,1.7523287534713745,-79.00176686,296,58389,125,0.05,352.36,14572
0.0001,462,1.1260340213775635,-74.62143142,300,59931,129,0.05,357.35,14957
0.0001,461,1.3880892992019653,-76.16091315,304,61012,132,0.05,360.85,15227
0.0001,459,0.8672795295715332,-71.70841408,308,62327,135,0.05,368.95,15556
0.0001,459,0.8177236318588257,-72.52865034999999,312,63320,137,0.05,370.89,15804
0.0001,458,0.5912525653839111,-67.42800088,316,64578,140,0.05,373.48,16119
0.0001,455,0.47996601462364197,-66.52735969,320,66453,145,0.05,377.44,16588
0.0001,451,2.0667858123779297,-64.56271078,324,68407,151,0.05,381.04,17076
0.0001,446,1.0381293296813965,-62.04725805000001,328,70533,157,0.05,391.68,17608
0.0001,445,2.4532642364501953,-55.15692414000001,332,71638,160,0.05,395.6,17884
0.0001,445,2.671326160430908,-59.03806497000001,336,72577,162,0.05,390.65,18119
0.0001,444,0.8671163320541382,-60.76122992000001,340,74135,166,0.05,390.28,18508
0.0001,444,3.823399066925049,-58.83695758999999,344,75010,168,0.05,389.39,18727
0.0001,442,0.7705489993095398,-56.48286655,348,76683,173,0.05,389.68,19145
0.0001,436,0.7494928240776062,-59.302045559999996,352,79429,182,0.05,393.03,19832
0.0001,433,0.4794355630874634,-59.47711243,356,81206,187,0.05,391.63,20276
0.0001,432,1.4251668453216553,-48.55788035000001,360,82685,191,0.05,390.98,20646
0.0001,429,1.0027358531951904,-53.66242934000001,364,84433,196,0.05,387.9,21083
0.0001,428,0.6619200706481934,-49.553909440000005,368,86124,201,0.05,389.72,21505
0.0001,424,0.6429406404495239,-47.63717753000001,372,88419,208,0.05,393.13,22079
0.0001,420,2.060333728790283,-42.90749083,376,91394,217,0.05,407.38,22823
0.0001,420,0.41268831491470337,-33.20747227,380,92650,220,0.05,408.91,23137
0.0001,417,0.6327558755874634,-27.392327239999997,384,95450,228,0.05,425.37,23837
0.0001,413,0.519088625907898,-37.83568528,388,98163,237,0.05,427.72,24515
0.0001,412,0.9964556097984314,-39.674706050000005,392,100269,243,0.05,434.04,25042
0.0001,412,0.3731416165828705,-34.347586740000004,396,101338,245,0.05,429.49,25309
0.0001,412,0.5060049295425415,-32.60442126,400,102793,248,0.05,428.62,25673
0.0001,407,0.6616203784942627,-30.095087950000003,404,106144,260,0.05,451.32,26510
0.0001,405,0.44704100489616394,-35.51200156,408,108289,266,0.05,459.62,27047
0.0001,405,0.7776932716369629,-28.93959405,412,110320,272,0.05,470.0,27554
0.0001,404,0.4866572320461273,-25.559122279999997,416,112627,278,0.05,480.49,28131
0.0001,402,0.4692506790161133,-28.60181483,420,114391,284,0.05,479.38,28572
0.0001,399,0.3636883795261383,-32.06583751,424,117011,292,0.05,486.04,29227
0.0001,397,0.9320489168167114,-29.633030509999994,428,119880,301,0.05,493.47,29944
0.0001,397,1.2312320470809937,-25.093900489999996,432,122112,307,0.05,504.74,30502
0.0001,394,0.45665350556373596,-23.478852389999997,436,125333,317,0.05,527.56,31308
0.0001,393,0.5229613184928894,-18.660630469999997,440,127022,322,0.05,528.87,31730
0.0001,390,0.9253492951393127,-17.63452297,444,129689,332,0.05,546.79,32397
0.0001,390,0.7852667570114136,-20.2140037,448,130906,335,0.05,542.23,32701
0.0001,388,0.5361268520355225,-17.26763668,452,133501,343,0.05,540.72,33350
0.0001,387,0.4795660972595215,-12.096783700000003,456,136180,351,0.05,549.74,34019
0.0001,387,0.3974260091781616,-18.148571060000002,460,138919,358,0.05,562.34,34704
0.0001,386,0.7339928150177002,-15.50218075,464,140959,364,0.05,565.26,35214
0.0001,385,0.5234414935112,-11.395868849999998,468,142967,371,0.05,568.43,35716
0.0001,383,0.5523531436920166,-12.583974259999998,472,145635,379,0.05,572.16,36383
0.0001,382,0.34315556287765503,-10.06915951,476,149027,389,0.05,576.33,37231
0.0001,381,0.464567631483078,-14.1730376,480,152372,399,0.05,597.22,38067
0.0001,379,0.6709246635437012,-12.731738690000004,484,155071,408,0.05,596.21,38742
0.0001,377,0.40681445598602295,-8.27965053,488,157776,417,0.05,596.13,39418
0.0001,376,1.6043117046356201,-3.77249022,492,161054,428,0.05,607.85,40238
0.0001,375,0.29616397619247437,-4.166572459999999,496,163687,435,0.05,623.49,40896
0.0001,374,0.33547526597976685,-7.092767829999998,500,166045,443,0.05,632.52,41486
0.0001,373,0.21607162058353424,-4.320525540000001,504,170045,455,0.05,639.01,42486
0.0001,370,0.333940714597702,-2.71927611,508,174045,469,0.05,657.56,43486
0.0001,368,0.2825065851211548,-2.83596148,512,177414,481,0.05,670.94,44328
0.0001,366,0.32744359970092773,-9.698272690000001,516,181414,495,0.05,687.87,45328
0.0001,365,0.5485818386077881,-4.012155420000002,520,184510,504,0.05,701.19,46102
0.0001,364,0.34496214985847473,-2.59715973,524,188510,517,0.05,714.99,47102
0.0001,362,0.5317299365997314,-4.902698469999999,528,192510,530,0.05,726.3,48102
0.0001,361,0.26608479022979736,-10.651417630000001,532,195725,541,0.05,736.13,48906
0.0001,358,0.500303328037262,-10.6918564,536,199725,556,0.05,743.92,49906
