rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/exploration_rate,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss
98.75,0,4,0.9924950000000003,395,511,-207.14726575,73,0.0001,1.5997204780578613
95.375,1,8,0.9855029999999998,763,585,-207.29631825,165,0.0001,4.7775750160217285
95.66666666666667,1,12,0.9781880000000003,1148,617,-180.73079675,261,0.0001,1.3973881006240845
95.875,2,16,0.9708540000000003,1534,635,-192.70247174999997,358,0.0001,3.3202877044677734
95.65,2,20,0.9636530000000001,1913,644,-185.23930089999996,453,0.0001,3.481562852859497
94.33333333333333,3,24,0.9569840000000003,2264,646,-194.17489687499997,540,0.0001,1.935199499130249
94.17857142857143,4,28,0.949897,2637,649,-199.26504524999996,634,0.0001,1.7817485332489014
94.625,4,32,0.9424680000000005,3028,653,-195.88063853124999,731,0.0001,1.2913239002227783
92.77777777777777,5,36,0.9365399999999998,3340,654,-202.25549813888887,809,0.0001,6.81117057800293
92.725,5,40,0.9295289999999997,3709,655,-200.699138225,902,0.0001,7.010135173797607
92.02272727272727,6,44,0.9230689999999996,4049,655,-205.8553832272727,987,0.0001,4.450849533081055
92.4375,6,48,0.9156969999999995,4437,657,-203.10518089583334,1084,0.0001,3.863837718963623
93.5,7,52,0.9076220000000004,4862,657,-200.5093149038462,1190,0.0001,1.730379581451416
91.92857142857143,7,56,0.9021880000000003,5148,658,-195.45073973214286,1261,0.0001,0.5703700184822083
93.25,8,60,0.8936949999999997,5595,656,-197.1953199,1373,0.0001,3.4079537391662598
93.03125,9,64,0.8868739999999997,5954,655,-191.31078321875,1463,0.0001,1.0034340620040894
93.13235294117646,9,68,0.8796730000000005,6333,653,-190.76552917647058,1558,0.0001,3.811332941055298
93.73611111111111,10,72,0.8717689999999999,6749,653,-186.0774152638889,1662,0.0001,3.892289638519287
94.26315789473684,10,76,0.8638839999999999,7164,651,-184.35852846052632,1765,0.0001,0.367610901594162
94.3875,11,80,0.8565310000000005,7551,652,-182.6862291,1862,0.0001,1.713590145111084
94.86904761904762,12,84,0.8485889999999999,7969,653,-179.4962322857143,1967,0.0001,0.43650829792022705
95.54545454545455,12,88,0.8402479999999994,8408,653,-179.79242613636364,2076,0.0001,0.40004077553749084
96.25,13,92,0.831755,8855,651,-182.81598377173913,2188,0.0001,1.3518096208572388
96.61458333333333,14,96,0.8237750000000004,9275,650,-183.23111246875,2293,0.0001,0.8892844319343567
97.0,14,100,0.8157000000000003,9700,650,-180.96834425,2399,0.0001,0.4379432201385498
97.89,15,104,0.8065039999999994,10184,649,-177.38074075,2520,0.0001,4.0901031494140625
98.71,16,108,0.7979540000000005,10634,649,-178.08192303999996,2633,0.0001,1.3940160274505615
98.6,16,112,0.7908479999999997,11008,649,-179.11508250000003,2726,0.0001,4.0209856033325195
99.79,17,116,0.7812530000000001,11513,646,-177.21116419000006,2853,0.0001,0.9024530053138733
100.59,18,120,0.7725320000000003,11972,644,-178.57184375999998,2967,0.0001,0.9992006421089172
101.42,19,124,0.7642859999999995,12406,642,-173.49725718,3076,0.0001,0.4093032777309418
102.1,20,128,0.7559070000000001,12847,640,-169.33933596,3186,0.0001,0.6576757431030273
102.63,20,132,0.747471,13291,640,-170.67762242999999,3297,0.0001,0.5887354612350464
104.69,21,136,0.7376289999999998,13809,639,-169.74643013000002,3427,0.0001,3.3841025829315186
105.62,22,140,0.7288510000000005,14271,637,-166.8237233,3542,0.0001,5.8491740226745605
106.25,23,144,0.7211939999999997,14674,635,-162.10927368999998,3643,0.0001,1.1869877576828003
106.62,23,148,0.7131190000000005,15099,633,-158.95105347999998,3749,0.0001,0.5913476943969727
107.78,24,152,0.7028400000000002,15640,630,-155.79107939000002,3884,0.0001,0.49041780829429626
