train/learning_rate,time/fps,rollout/ep_len_mean,train/value_loss,train/policy_loss,train/explained_variance,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,train/entropy_loss,train/n_updates
0.0007,164,25.36842105263158,8.805094718933105,1.6711241006851196,0.06841176748275757,25.36842105263158,3,100,500,-0.6902792453765869,99
0.0007,199,29.59375,6.888803958892822,1.5680961608886719,0.22414004802703857,29.59375,5,200,1000,-0.6578747034072876,199
0.0007,214,33.266666666666666,6.694256782531738,1.1955362558364868,-0.0025697946548461914,33.266666666666666,6,300,1500,-0.6735523343086243,299
0.0007,223,38.94,5.825873851776123,1.147160530090332,0.002964496612548828,38.94,8,400,2000,-0.6014989614486694,399
0.0007,228,45.72222222222222,5.062893867492676,0.9373283386230469,0.001791834831237793,45.72222222222222,10,500,2500,-0.5573589205741882,499
0.0007,232,49.93333333333333,4.508779048919678,0.8072299957275391,-0.0004774332046508789,49.93333333333333,12,600,3000,-0.4054132103919983,599
0.0007,235,52.859375,3.9549720287323,0.7397494316101074,-0.0007891654968261719,52.859375,14,700,3500,-0.5553593039512634,699
0.0007,237,57.75,3.42256236076355,0.5573107600212097,0.001961052417755127,57.75,16,800,4000,-0.5415037274360657,799
0.0007,238,61.45070422535211,2.911349058151245,0.3653567433357239,0.00525134801864624,61.45070422535211,18,900,4500,-0.5121434330940247,899
0.0007,238,64.48684210526316,2.481470823287964,0.5026875138282776,-0.0002872943878173828,64.48684210526316,20,1000,5000,-0.5209078192710876,999
0.0007,238,66.95061728395062,2.0775973796844482,0.3589276373386383,-0.00035822391510009766,66.95061728395062,23,1100,5500,-0.37323233485221863,1099
0.0007,238,70.78313253012048,1.6870745420455933,0.4131424129009247,0.0006399750709533691,70.78313253012048,25,1200,6000,-0.48297005891799927,1199
0.0007,237,74.33333333333333,1.3526402711868286,0.26048633456230164,-4.291534423828125e-06,74.33333333333333,27,1300,6500,-0.36029547452926636,1299
0.0007,237,76.86666666666666,1.0461628437042236,0.4145197868347168,-4.00543212890625e-05,76.86666666666666,29,1400,7000,-0.39529627561569214,1399
