rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/exploration_rate,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss
92.75,0,4,0.9929509999999998,371,509,-272.45505875000003,67,0.0001,2.9384844303131104
88.75,1,8,0.9865100000000002,710,584,-245.24305737500003,152,0.0001,1.463071584701538
95.41666666666667,1,12,0.9782449999999999,1145,621,-245.36125608333336,261,0.0001,2.0096495151519775
94.25,2,16,0.9713479999999999,1508,638,-249.1799235625,351,0.0001,1.5592247247695923
95.05,2,20,0.9638810000000002,1901,644,-232.7877935,450,0.0001,4.290380477905273
95.875,3,24,0.956281,2301,648,-235.9736336666667,550,0.0001,0.7891426682472229
94.85714285714286,4,28,0.9495360000000002,2656,651,-243.69366678571433,638,0.0001,1.1453001499176025
94.15625,4,32,0.9427530000000003,3013,655,-238.48317696875,728,0.0001,10.40993595123291
94.30555555555556,5,36,0.9354950000000004,3395,658,-241.24129541666662,823,0.0001,1.949272871017456
93.15,5,40,0.9292059999999999,3726,659,-225.59860967500003,906,0.0001,4.51137113571167
93.06818181818181,6,44,0.9221949999999998,4095,658,-216.1478648409091,998,0.0001,0.5521682500839233
94.79166666666667,6,48,0.9135500000000001,4550,654,-211.88367308333332,1112,0.0001,1.0235669612884521
95.23076923076923,7,52,0.9059119999999998,4952,652,-212.55154811538463,1212,0.0001,3.8135764598846436
96.28571428571429,8,56,0.8975519999999999,5392,648,-219.32002732142857,1322,0.0001,1.2574214935302734
95.68333333333334,8,60,0.8909210000000001,5741,646,-211.1650637,1410,0.0001,3.8870956897735596
96.8125,9,64,0.8822760000000004,6196,643,-205.438524546875,1523,0.0001,3.9234020709991455
95.69117647058823,10,68,0.8763670000000003,6507,641,-198.04511352941174,1601,0.0001,0.5924480557441711
97.72222222222223,11,72,0.8663160000000003,7036,639,-195.44803354166666,1733,0.0001,6.959880352020264
98.27631578947368,11,76,0.858089,7469,638,-199.0630035789474,1842,0.0001,0.7557412385940552
97.9,12,80,0.851192,7832,639,-195.27178955,1932,0.0001,0.822946310043335
98.17857142857143,12,84,0.8433069999999999,8247,637,-195.70961482142857,2036,0.0001,4.222250938415527
97.97727272727273,13,88,0.8361819999999996,8622,635,-195.09183106818182,2130,0.0001,0.7301617860794067
98.3804347826087,14,92,0.8280310000000005,9051,633,-190.97948161956518,2237,0.0001,3.4508039951324463
98.10416666666667,14,96,0.8210580000000004,9418,632,-192.39069958333334,2329,0.0001,1.3809938430786133
99.33,15,100,0.8112729999999995,9933,631,-194.25352779999997,2458,0.0001,0.5336002111434937
99.92,16,104,0.8031029999999998,10363,631,-190.78340172000003,2565,0.0001,1.2041569948196411
101.09,17,108,0.7944389999999996,10819,629,-187.09125631000003,2679,0.0001,1.656510829925537
101.58,18,112,0.7852429999999999,11303,627,-182.63208809,2800,0.0001,0.4720459580421448
102.72,18,116,0.7761799999999998,11780,625,-176.29501506,2919,0.0001,1.2513692378997803
103.56,19,120,0.7671169999999997,12257,623,-176.07297544000005,3039,0.0001,0.5670572519302368
103.56,20,124,0.7595170000000006,12657,622,-170.48503813,3139,0.0001,0.5168896913528442
104.14,21,128,0.7516699999999995,13070,621,-165.10879328,3242,0.0001,0.5903934240341187
104.6,21,132,0.7440129999999998,13473,620,-162.86163894999999,3343,0.0001,0.5724300146102905
108.46,23,136,0.7294209999999999,14241,614,-156.32668661,3535,0.0001,3.734316825866699
109.38,23,140,0.7213839999999998,14664,612,-157.43998791,3640,0.0001,2.9260005950927734
110.5,24,144,0.7122449999999996,15145,610,-155.48665596,3761,0.0001,3.6631622314453125
111.82,25,148,0.7010919999999996,15732,608,-155.52872724,3907,0.0001,3.1701369285583496
113.12,26,152,0.690984,16264,606,-154.07046926,4040,0.0001,0.4574199914932251
112.94,27,156,0.6829660000000004,16686,604,-144.81402683,4146,0.0001,0.7461005449295044
115.2,28,160,0.6720410000000006,17261,601,-147.13157596,4290,0.0001,3.708341121673584
114.53,29,164,0.6646689999999995,17649,600,-147.57913672999996,4387,0.0001,0.7642543315887451
116.68,30,168,0.6546750000000001,18175,598,-149.66851254999997,4518,0.0001,0.6563585996627808
118.35,31,172,0.6414510000000005,18871,595,-149.74092055,4692,0.0001,0.8015981912612915
120.25,32,176,0.6296139999999999,19494,592,-143.98200905,4848,0.0001,0.466926246881485
121.51,33,180,0.6203230000000006,19983,590,-142.98532106000002,4970,0.0001,3.810070037841797
123.38,34,184,0.6088849999999997,20585,588,-139.50046415000003,5121,0.0001,1.4547866582870483
125.5,36,188,0.5977319999999996,21172,586,-139.45552317000002,5267,0.0001,1.3830187320709229
127.49,37,192,0.5858000000000003,21800,585,-140.51017399,5424,0.0001,3.6632120609283447
129.68,38,196,0.5746659999999997,22386,586,-136.43848377999998,5571,0.0001,2.597188711166382
131.57,39,200,0.5612900000000001,23090,584,-135.73772817,5747,0.0001,0.7045084238052368
133.38,40,204,0.5496810000000005,23701,583,-132.14939973,5900,0.0001,0.8472369313240051
135.84,41,208,0.5363429999999999,24403,582,-131.22397902,6075,0.0001,1.3209810256958008
140.7,43,212,0.5179130000000005,25373,577,-129.22202657000003,6318,0.0001,1.1081035137176514
141.51,44,216,0.5073110000000004,25931,576,-130.18420071,6457,0.0001,0.9433405995368958
144.75,46,220,0.49209200000000053,26732,574,-126.89036093,6657,0.0001,3.453392267227173
155.33,50,224,0.4643900000000002,28190,562,-127.79569894000002,7022,0.0001,0.49231719970703125
157.62,51,228,0.4521919999999996,28832,560,-123.76958772,7182,0.0001,0.671663224697113
169.34,55,232,0.4222669999999997,30407,544,-121.4357539,7576,0.0001,0.8192517757415771
177.92,59,236,0.3913730000000004,32033,537,-124.19016970000001,7983,0.0001,1.1923439502716064
185.67,62,240,0.3686109999999999,33231,535,-123.17564485999999,8282,0.0001,0.7038347721099854
196.39,66,244,0.3391040000000005,34784,522,-122.73861326000002,8670,0.0001,1.1690082550048828
204.4,69,248,0.31273200000000045,36172,517,-121.27619935000001,9017,0.0001,2.0065627098083496
223.97,76,252,0.26544100000000004,38661,502,-117.77398066000002,9640,0.0001,0.36622920632362366
246.16,84,256,0.21526199999999995,41302,486,-118.77505153999999,10300,0.0001,0.8052784204483032
279.14,96,260,0.14167499999999966,45175,466,-114.29650955000001,11268,0.0001,0.6729900240898132
315.26,111,264,0.0656749999999996,49175,442,-113.91550459000001,12268,0.0001,0.3242788314819336
345.75,123,268,0.05,52750,426,-110.25192908999999,13162,0.0001,0.3867368698120117
376.06,136,272,0.05,56477,413,-104.89914371,14094,0.0001,1.160150170326233
409.83,152,276,0.05,60477,395,-105.40597410000002,15094,0.0001,0.8326736688613892
444.94,166,280,0.05,64477,387,-106.18550426,16094,0.0001,0.8754917979240417
478.92,180,284,0.05,68477,379,-106.39838464999998,17094,0.0001,1.0510435104370117
513.05,195,288,0.05,72477,370,-105.37708934,18094,0.0001,1.1436362266540527
546.77,209,292,0.05,76477,364,-105.3032447,19094,0.0001,0.725038468837738
580.91,223,296,0.05,80477,359,-105.80749293000001,20094,0.0001,0.48346760869026184
613.87,237,300,0.05,84477,356,-102.44559376999997,21094,0.0001,3.684389114379883
647.76,250,304,0.05,88477,353,-104.59740431,22094,0.0001,0.7289981245994568
680.74,264,308,0.05,92477,349,-105.19849315000002,23094,0.0001,0.6627309322357178
711.04,277,312,0.05,96477,347,-108.06210839,24094,0.0001,0.9641599655151367
745.46,289,316,0.05,100477,347,-108.99899229,25094,0.0001,0.8007674813270569
777.45,301,320,0.05,104477,345,-109.79705542000002,26094,0.0001,0.45410796999931335
